CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1	levomilnacipran	pKi=7.03526926	pKi=7.03526926	pKi=7.03526926	pIC50=7.4
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	tapentadol	pKi=6.31875896	pKi=6.31875896	pKi=6.31875896
CC(N)CC1=CC=CC=C1	amfetamine
CN[C@@H](C)[C@@H](O)C1=CC=CC=C1	pseudoephedrine
NC(=N)NCC1COC2(CCCCC2)O1	guanadrel
CNC(NC)=NCC1=CC=CC=C1	betanidine
Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1	amoxapine	pKi=7.88605665	pKi=7.88605665	pKi=7.88605665	pIC50=7.89
[H][C@@]1(C)N(C)CCO[C@@]1([H])C1=CC=CC=C1	phendimetrazine
CCN(CC)C(C)C(=O)C1=CC=CC=C1	diethylpropion
[H]C1(CCCCN1)C(C(=O)OC)C1=CC=CC=C1	methylphenidate	pKi=6.18	pKi=6.18	pKi=6.18	pKi=6.18
CCOc1ccccc1OCC2CNCCO2	viloxazine	pKd=6.81	pKd=6.81	pKd=6.81	pKd=6.81
C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1	benzphetamine
CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1	bupropion	pKi=5.16	pKi=5.16	pKi=5.16	pIC50=6.35
CC[N+](C)(C)CC1=C(Br)C=CC=C1	bretylium
CNCC[C@@H](Oc1ccccc1C)c2ccccc2	atomoxetine	pKd=8.69	pKd=8.69	pKd=8.69	pIC50=8.29
OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4	mazindol	pKd=9.3	pKd=9.3	pKd=9.3	pKi=7.75
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3	duloxetine	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=6.29
CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1	desvenlafaxine	pKi=6.2747	pKi=6.2747	pKi=6.2747
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1	venlafaxine	pKd=5.9747	pKd=5.9747	pKd=5.9747	pIC50=6.17
CC(CN(C)C)CN1C2=CC=CC=C2CCC2=C1C=CC=C2	trimipramine	pKi=5.61000013	pKi=5.61000013	pKi=5.61000013
CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1	sibutramine	pKi=5.2635	pKi=5.2635	pKi=5.2635
CNCCCC1C2=CC=CC=C2C=CC2=C1C=CC=C2	protriptyline	pKi=8.39	pKi=8.39	pKi=8.39	pIC50=7.77
CC(C)(N)CC1=CC=CC=C1	phentermine
CC1NCCOC1C1=CC=CC=C1	phenmetrazine	pEC50=7.2976	pEC50=7.2976	pEC50=7.2976
CNCCC=C1c2ccccc2CCc3ccccc13	nortriptyline	pKd=8.3595	pKd=8.3595	pKd=8.3595	pKi=8.2
CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4	nefazodone	pKd=6.4437	pKd=6.4437	pKd=6.4437	pKd=6.44
CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1	milnacipran	pKi=7.6	pKi=7.6	pKi=7.6	pIC50=7.11
CNCCCC12CCC(c3ccccc13)c4ccccc24	maprotiline	pKd=8.27	pKd=8.27	pKd=8.27	pIC50=7.52
CN(C)CCCN1c2ccccc2CCc3ccccc13	imipramine	pKd=7.4318	pKd=7.4318	pKd=7.4318	pIC50=7.13
NC(=N)NCCN1CCCCCCC1	guanethidine
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pKd=7.53	pKd=7.53	pKd=7.53	pIC50=7.54
[H][C@@]1(CCCCN1)[C@H](C(=O)OC)C1=CC=CC=C1	dexmethylphenidate
CNCCCN1c2ccccc2CCc3ccccc13	desipramine	pKd=9.0809	pKd=9.0809	pKd=9.0809	pKi=6.24
CN(C)CCC=C1c2ccccc2CCc3ccccc13	amitriptyline	pKd=7.4559	pKd=7.4559	pKd=7.4559	pKi=6.48
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	clomipramine	pKd=7.4202	pKd=7.4202	pKd=7.4202	pIC50=7.15
CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1	nomifensine	pKi=7.67	pKi=7.67	pKi=7.67	pIC50=6.2
CN(CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2)CC(=O)C1=CC=C(Cl)C=C1	lofepramine	pKi=8.2676	pKi=8.2676	pKi=8.2676
CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12	dosulepin	pKd=7.3372	pKd=7.3372	pKd=7.3372
C[C@H](N)CC1=CC=CC=C1	dexamfetamine	pKi=7.0	pKi=7.0	pKi=7.0	pIC50=6.2
C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN	lisdexamfetamine
COc1cccc(c1)[C@]2(CCCC[C@@H]2CN(C)C)OC	CHEMBL272533	pIC50=6.79
COc1ccccc1C[C@](O)([C@@H]2CNCCO2)c3ccccc3	CHEMBL378377	pKi=6.79
Clc1ccc(cc1Cl)C23CCN(CC2)Cc4cc(Oc5cnccn5)ccc34	CHEMBL3673166	pIC50=6.79
Fc1ccc(COc2ccccc2C3CCNCC3)cc1	CHEMBL573531	pKi=6.79
Fc1cccc(Oc2c(Cl)cccc2Cl)c1OC3CNC3	CHEMBL1645603	pKi=6.79
C(CN1CCC(=CC1)Cc2ccccc2)C(N3CCCC3)c4csc5ccccc45	CHEMBL3334769	pIC50=6.8
CCC[C@@H]1CNCCN1c2ccc3[nH]ncc3c2	CHEMBL1172524	pKi=6.8
CCC[C@]1(CCCN1)C(=O)c2ccc(Cl)c(Cl)c2	CHEMBL1224025	pKi=6.8
CCCc1ccccc1Oc2cc(C)ncc2CN(C)C	CHEMBL258291	pKi=6.8
CCN(CC)C(=O)[C@]1(C[C@H]1CN)c2ccc3CCCc3c2	CHEMBL405728	pIC50=6.8
CCN(CC)C(=O)[C@]1(C[C@H]1CN)c2ccc3OCCc3c2	CHEMBL403949	pIC50=6.8
CNCCC(Oc1cccc2ccccc12)c3ccc(Br)cc3	CHEMBL139168	pKi=6.8
CNCc1ccccc1Oc2ccc(OC)cc2Cl	CHEMBL255957	pIC50=6.8
CNCc1cnccc1Oc2ccc(Cl)cc2Cl	CHEMBL259136	pIC50=6.8
CN[C@@H]1C[C@H](Oc2ccccc2C)c3ccccc3C1	CHEMBL525249	pIC50=6.8
COc1cc(ccc1O[C@H]([C@@H]2CNCCO2)c3ccccc3)C(F)(F)F	CHEMBL410286	pKi=6.8
Cl.CN(C)[C@@H]1CC[C@@H](CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23	CHEMBL2036267	pIC50=6.8
Cl.COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]1c3ccc(OC)c(Br)c3)N2C	CHEMBL513090	pKi=6.8
Clc1ccc(cc1Cl)[C@@]23CNC[C@@H]2[C@H]3COC4CCC4	CHEMBL596784	pKi=6.8
FC(F)(F)c1ccn(C[C@@]23CNCC[C@@]2(C3)c4ccc(Cl)c(Cl)c4)n1	CHEMBL1818457	pKi=6.8
NCC[C@@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642913	pIC50=6.8
O=C(c1ccc2[nH]ccc2c1)C3(Cc4ccccc4)CNC3	CHEMBL1224095	pKi=6.8
COc1ccc(cc1)[C@@H]([C@H](O)CN)N(C)c2ccccc2	CHEMBL466670	pIC50=6.81
Cl.COc1ccccc1C[C@](O)([C@@H]2CNCCO2)c3ccccc3	CHEMBL556167	pKi=6.81
Nc1cnc(cn1)c2ccc3c(CN4CCC3(CC4)c5ccc(Cl)c(Cl)c5)c2	CHEMBL3673164	pIC50=6.81
CC(C)CN(Cc1cccc(C)c1)C2CCNCC2.OC(=O)\C=C\C(=O)O	CHEMBL381056	pKi=6.82
CCCC(N1CCCC1)C(=O)c2ccc(CO)cc2	CHEMBL203562	pKi=6.82
CCN(CC)C(=O)[C@]1(C[C@H]1CN)c2cc3cc(F)ccc3s2	CHEMBL257130	pIC50=6.82
CCc1ccc(cc1)N2C(=O)C(CCCNC)Cc3ccccc23	CHEMBL198038	pKi=6.82
CN(C)C[C@H]1C2CCC(C2)[C@@H]1c3ccc4ccccc4c3	CHEMBL326466	pKi=6.82
CN(C)[C@@H]1C[C@H](Oc2ccccc2C)c3ccccc13	CHEMBL521392	pIC50=6.82
CN(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL147950	pKi=6.82
CN(C)[C@H]1C[C@H](Oc2ccccc2C)c3ccccc13	CHEMBL520201	pIC50=6.82
CNC(=O)c1cc2cc(ccc2[nH]1)C3(Cc4ccccc4)CCNC3	CHEMBL442924	pKi=6.82
CNCCCC1(Cc2ccccc2N(C1=O)c3ccc(C)cc3)C(C)C	CHEMBL438450	pKi=6.82
CNC[C@@H](O)[C@@H](c1ccccc1)n2ccc3ccccc23	CHEMBL566816	pIC50=6.82
CNC[C@H](CCN1c2ccccc2N(c3ccccc3)S1(=O)=O)OC	CHEMBL1830875	pIC50=6.82
C[C@@H]1NC(C)(C)CO[C@@]1(O)c2cc(F)cc(F)c2	CHEMBL1173429	pIC50=6.82
Cl.CCC1(CC)CN([C@H]([C@H](O)CNC)c2cccc(F)c2)c3ccccc13	CHEMBL603495	pIC50=6.82
Cl.CN1[C@H]2CC[C@@H]1[C@@H](C#C)[C@H](C2)c3ccc(C)cc3	CHEMBL451071	pKi=6.82
Cl.CNC[C@@H]1C[C@]1(Oc2cccc3ccccc23)c4cccs4	CHEMBL558065	pKi=6.82
FCCOC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1c3ccc(I)cc3)N2C\C=C\I	CHEMBL3105243	pKi=6.82
NCC(=O)NCC1CC1(C(=O)C2NCCc3ccccc23)c4ccccc4	CHEMBL406156	pIC50=6.82
O=C(NCCCN1CCC(Cc2ccccc2)CC1)c3ccc(cc3)c4ccccc4	CHEMBL3612829	pIC50=6.82
CN(C)CC(c1cccc(Cl)c1)C2(O)CCCCC2	CHEMBL101899	pKi=6.83
CN(C)C[C@@H]1C2CCC(C2)[C@H]1c3ccc4ccccc4c3	CHEMBL109517	pKi=6.83
COc1ccc(nn1)c2ccc3c(CN4CCC3(CC4)c5ccc(Cl)c(Cl)c5)c2	CHEMBL3673162	pIC50=6.83
Cl.Cl.CN1CCN(CC(c2cccc(OC(F)(F)F)c2)C3(O)CCCCC3)CC1	CHEMBL469667	pIC50=6.83
Clc1ccc(cc1Cl)[C@]23CNC[C@H]2C3	CHEMBL592374	pKi=6.83
FC(F)(F)c1ccccc1CN([C@H]2CCNC2)C(=O)C3CCC3	CHEMBL560999	pKi=6.83
N#Cc1cc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)cc(c1)c4ccccc4	CHEMBL1644604	pIC50=6.83
O=S1(=O)N(CC2CNCCO2)c3ccccc3N1c4ccccc4	CHEMBL1830880	pIC50=6.83
O[C@@](Cc1ccccc1)([C@@H]2CNCCO2)c3ccccc3	CHEMBL207712	pKi=6.83
CCNCCc1cccc2[nH]cc(c12)S(=O)(=O)c3ccccc3	CHEMBL595133	pIC50=6.84
CN(C)CC1(CCCCC1)c2cccc(F)c2	CHEMBL1683893	pIC50=6.84
CNCCCC1(C)Cc2ccccc2N(C1=O)c3cccc(C)c3	CHEMBL370063	pKi=6.84
CNC[C@@H](O)CCN1c2ccccc2N(c3ccc(F)cc3)S1(=O)=O	CHEMBL1084829	pIC50=6.84
CNC[C@@H]1CSc2ccccc2[C@@H]1Oc3ccccc3Cl	CHEMBL498510	pIC50=6.84
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(I)cc3)N2C\C=C\CF	CHEMBL1214059	pKi=6.84
COc1ccccc1CN(CC(C)C)C2CCNCC2.OC(=O)\C=C\C(=O)O	CHEMBL207915	pKi=6.84
Cc1cccc(CN(C2CCOCC2)[C@@H]3CCNC3)c1C	CHEMBL395408	pIC50=6.84
CN(C)Cc1ccccc1Sc2ccc(F)cc2N	CHEMBL190860	pKi=6.85
CN1C[C@@H]2CCCC[C@@]2(C1)c3ccc(Cl)c(Cl)c3	CHEMBL1813315	pIC50=6.85
CNCCCN1Cc2ccccc2N(c3ccc(C)cc3)S1(=O)=O	CHEMBL1085906	pIC50=6.85
CNC[C@@H]1SCc2ccccc2[C@@H]1Oc3ccccc3Cl	CHEMBL498680	pIC50=6.85
CNC[C@H](O)CCN1c2ccccc2N(c3cccc(OC)c3)S1(=O)=O	CHEMBL1085322	pIC50=6.85
CNC[C@H]1OCc2ccccc2[C@@H]1Oc3ccccc3Cl	CHEMBL496284	pIC50=6.85
CNCc1cc(ccc1Oc2ccc(Cl)c(Cl)c2)C(=O)N3CCCN(CC3)C4CC4	CHEMBL257738	pKi=6.85
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(Cl)cc3)N2C\C=C\CF	CHEMBL1214006	pKi=6.85
Cl.Cl.OC1(CCCCC1)[C@H](CN2CCNCC2)c3cccc(OC(F)(F)F)c3	CHEMBL470482	pIC50=6.85
Clc1ccc(cc1Cl)C23CNCC2C3	CHEMBL528995	pIC50=6.85
FC(F)(F)c1ccccc1Oc2ncccc2C3CCNCC3	CHEMBL596715	pKi=6.85
FC(F)Oc1ccc2c(CN3CCC2(CC3)c4ccc(Cl)c(Cl)c4)c1	CHEMBL3673168	pIC50=6.85
Fc1ccc(Oc2ncccc2C3CCNCC3)c(F)c1	CHEMBL598767	pKi=6.85
O[C@@H](CN1CCC(CCOC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)Cc4ccccc4.OC(=O)C(=O)O	CHEMBL204530	pKi=6.85
CC(C)CN([C@H]1CCNC1)C(=O)c2cccc(Cl)c2F	CHEMBL1078073	pKi=6.86
CN1CC(c2ccccc2)c3cccc(O)c3C1	CHEMBL2206514	pKi=6.86
CNCC1(CCCCC1)c2ccc(F)c(Cl)c2	CHEMBL1683890	pIC50=6.86
CNC[C@@H](O)[C@H](c1ccccc1)n2ccc3ccccc23	CHEMBL562476	pIC50=6.86
Fc1cccc(Cl)c1Oc2cccc(F)c2OC3CNC3	CHEMBL1645600	pKi=6.86
N[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL1643512	pIC50=6.86
CC(C)CN([C@H]1CCNC1)C(=O)c2cccc(Cl)c2	CHEMBL1078743	pKi=6.87
CC(N1CCCCC1)C(=O)c2cccc(F)c2	CHEMBL599028	pIC50=6.87
CCCC(N1CCCC1)C(=O)c2ccc3ccccc3c2	CHEMBL204759	pKi=6.87
CCN(CC)CCC(N1CCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL3334802	pIC50=6.87
CN1CC(c2ccccc2)c3ccc(C)c(C)c3C1	CHEMBL207867	pKi=6.87
COc1cccc2C(CN(C)Cc12)c3ccccc3	CHEMBL2206513	pKi=6.87
Brc1cc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)cc(c1)c4ccccc4	CHEMBL1644601	pIC50=6.88
CC1(C)NCC(c2ccc(Cl)c(Cl)c2)c3ccc(cc13)c4cnccn4	CHEMBL3703728	pIC50=6.88
CN(C)Cc1cnc(C)cc1Oc2ccccc2Cl	CHEMBL401550	pKi=6.88
CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4ccc(F)cc4	CHEMBL225235	pIC50=6.88
Clc1ccc(cc1Cl)C2CNCc3cc(ccc23)N4N=CC=CC4=O	CHEMBL3703736	pIC50=6.88
Fc1cc(ccc1Cl)C23CCN(CC2)Cc4cc(Oc5ccc(nn5)C(F)(F)F)ccc34	CHEMBL3673170	pIC50=6.88
CCCN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL146042	pKi=6.89
CN(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL356750	pKi=6.89
CN1CC(c2cc3ccccc3s2)c4ccccc4C1	CHEMBL3323097	pIC50=6.89
CN1CC=CCC(C1)c2ccc(Cl)c(C)c2	CHEMBL2326684	pKi=6.89
CNCCCN1Cc2ccccc2N(c3ccccc3)S1(=O)=O	CHEMBL1086398	pIC50=6.89
CNCc1cc(ccc1Cc2ccc(Cl)c(Cl)c2)S(=O)(=O)N	CHEMBL481306	pIC50=6.89
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(SC(C)C)cc3)N2C	CHEMBL579254	pKi=6.89
COc1cccc(CC(N2CCNCC2)c3ccccc3)c1	CHEMBL212763	pIC50=6.89
Cl.COCC(C1CCNCC1)c2ccc(Cl)cc2	CHEMBL2407330	pIC50=6.89
Clc1ccc(cc1Cl)C2CCCCNC2	CHEMBL2326692	pKi=6.89
Clc1cccc(OC(C2CCNCC2)c3cccnc3)c1Cl	CHEMBL559456	pIC50=6.89
FC(F)(F)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)c1	CHEMBL1644481	pIC50=6.89
Fc1ccc(cc1Cl)C2CNCC=CC2	CHEMBL2326686	pKi=6.89
Fc1cccc(O[C@@H]([C@H]2CNCCO2)c3ccccc3)c1F	CHEMBL264418	pKi=6.89
Fc1ccccc1C(Cc2ccccc2Cl)N3CCNCC3	CHEMBL211412	pIC50=6.89
NCC1CC1(C(=O)N2CCCCCC2)c3ccccc3	CHEMBL272285	pIC50=6.89
O=S(=O)(c1ccccc1)c2c[nH]c3cccc(CCN4CCCC4)c23	CHEMBL606144	pIC50=6.89
CC1CCCCN1CCc2cccc3[nH]cc(c23)S(=O)(=O)c4ccccc4	CHEMBL603417	pKi=6.9
CNC[C@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642907	pIC50=6.9
COC[C@@]12CNCC[C@@]1(C2)c3ccc(Cl)c(Cl)c3	CHEMBL1173532	pKi=6.9
COC[C@@]12CNCC[C@@]1(C2)c3ccc(c(Cl)c3)C(F)(F)F	CHEMBL1173415	pKi=6.9
Clc1ccc(cc1Cl)[C@]23CCNC[C@@]2(COCC4CC4)C3	CHEMBL1173595	pKi=6.9
Clc1ccc(cc1Cl)[C@]23CNC[C@H]2[C@H]3COCC4CC4	CHEMBL607871	pKi=6.9
N#Cc1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)c1	CHEMBL1644483	pIC50=6.9
CC(=O)N(Cc1ccccc1c2ccccc2)[C@H]3CCNC3	CHEMBL479044	pKi=6.91
CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(C)cc3)C(=O)OC4CCC4	CHEMBL1812740	pIC50=6.91
CNC[C@@H](O)[C@H](c1cccc(F)c1)n2ccc3ccc(Br)cc23	CHEMBL577565	pIC50=6.91
FC(F)(F)c1ccc(Oc2ccc3c(CN4CCC3(CC4)c5ccc(Cl)cc5)c2)nn1	CHEMBL3673154	pIC50=6.91
N[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642890	pIC50=6.91
C1CC(CCN1)C(Oc2cccc3ccccc23)c4ccccc4	CHEMBL150932	pIC50=6.92
CC(C)CC(C1CCCCN1)c2ccc(Cl)c(Cl)c2	CHEMBL218999	pKi=6.92
CCC(N)C1(CCCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL1684043	pIC50=6.92
CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)C(=O)OCc4cn(CCOC(=O)[C@H]5C6CCC(C[C@@H]5c7ccc(Cl)cc7)N6C)nn4	CHEMBL595638	pKi=6.92
CN1CC=CCC(C1)c2oc3ccccc3c2	CHEMBL2326689	pKi=6.92
CNCCCN1Cc2cc(F)ccc2N(c3ccccc3F)S1(=O)=O	CHEMBL1083210	pIC50=6.92
CNCC[C@@H](N1C(=O)Sc2ccccc12)c3ccccc3	CHEMBL475527	pIC50=6.92
CNC[C@@H](O)[C@@H](N(C)c1cccc2ccccc12)c3ccccc3	CHEMBL506874	pIC50=6.92
CNC[C@H]1C2CCC(C2)[C@@H]1c3ccc4cc(OC)ccc4c3	CHEMBL322348	pKi=6.92
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(SC)c(Br)c3)N2C	CHEMBL578419	pKi=6.92
COc1ccc(cc1)[C@@H]2CN(C)Cc3cc(OCCCN4CCOC[C@@H]4C)ccc23	CHEMBL395609	pKi=6.92
Cl.CN(C)OC(=O)C(C1CCNCC1)c2ccc(Cl)c(Cl)c2	CHEMBL2407324	pIC50=6.92
Clc1ccc(Cl)c(CC(N2CCNCC2)c3ccccc3)c1	CHEMBL377900	pIC50=6.92
Clc1ccc(cc1Cl)C23CCN(CC2)Cc4cc(ccc34)c5ccc6ncnn6c5	CHEMBL3673159	pIC50=6.92
Clc1ccccc1CC(N2CCNCC2)c3cncs3	CHEMBL377189	pIC50=6.92
CCSc1ccc(cc1)[C@H]2CC3CCC(N3)[C@H]2C(=O)OC	CHEMBL574546	pKi=6.93
CNC[C@@H](O)[C@H](c1ccc(C)cc1)n2ccc3ccccc23	CHEMBL566957	pIC50=6.93
CNC[C@H](O)[C@H](c1ccccc1)n2ccc3cc(F)ccc23	CHEMBL568096	pIC50=6.93
CN[C@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642895	pIC50=6.93
COC(=O)C1C2CCC(CC1c3cccc(I)c3)N2	CHEMBL66068	pKi=6.93
CSc1ccc(cc1)C2CN(C)Cc3cc(OCCCN4CCC(F)CC4)ccc23	CHEMBL395368	pKi=6.93
O=CN(Cc1ccccc1c2ccccc2)[C@H]3CCNC3	CHEMBL449235	pKi=6.93
CC(C)C(=O)N(Cc1ccccc1Cl)[C@H]2CCNC2	CHEMBL517963	pIC50=6.94
CC1NC(C)(C)COC1(O)c2ccc(Cl)c(Cl)c2	CHEMBL1173428	pIC50=6.94
CCOc1ccc2C(CN(C)Cc2c1)c3ccccc3	CHEMBL2206519	pKi=6.94
CN(C)Cc1cc(OCCF)ccc1Sc2ccc(Br)cc2N	CHEMBL239297	pKi=6.94
CN1CC(c2ccccc2)c3cc(C)ccc3C1	CHEMBL2206520	pKi=6.94
Cc1ccc(C2CCNCC2)c(Oc3ccc(F)cc3)c1	CHEMBL574347	pKi=6.94
Cc1cccc(F)c1Oc2cccc(F)c2OC3CNC3	CHEMBL1645601	pKi=6.94
Clc1ccc(cc1Cl)C2(CN3CCCCC3)CCCCC2	CHEMBL1683878	pIC50=6.94
Fc1ccccc1C(Cc2ccccc2OC(F)(F)F)N3CCNCC3	CHEMBL1083426	pKi=6.94
CNCc1cc(ccc1Oc2ccc(Cl)cc2)C(=O)N3CCCN(CC3)C4CC4	CHEMBL257909	pKi=6.95
CN[C@@H]1CCc2ccccc2[C@@H]1c3ccc(Cl)c(Cl)c3	CHEMBL1642915	pIC50=6.95
Fc1ccc(cc1Cl)C23CCN(CC2)Cc4cc(Oc5ccc(nn5)C(F)(F)F)ccc34	CHEMBL3673169	pIC50=6.95
CC(C)N[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL359025	pKi=6.96
CCCC1[C@H](C[C@H]2CC3CCN2C13)c4ccc(C)cc4	CHEMBL103701	pIC50=6.96
CCC[C@H](N1CCCC1)C(=O)c2ccc(C)cc2	CHEMBL372312	pKi=6.96
CN(C)CC1C2CCC(C2)C1c3ccc4ccccc4c3	CHEMBL109571	pKi=6.96
CN(CC#C)C(=O)[C@]1(C[C@H]1CN)c2ccsc2	CHEMBL439423	pIC50=6.96
CN1CC(c2cc3ccccc3s2)c4ccc(cc4C1)N5CCCCC5	CHEMBL3323185	pIC50=6.96
CNCCC(Oc1cccc2ccccc12)c3ccccc3C	CHEMBL141741	pKi=6.96
CNC[C@@H](O)[C@@H](N(C)c1ccccc1)c2ccc(Cl)cc2	CHEMBL467324	pIC50=6.96
CNC[C@@H](O)[C@H](c1cccc(OC)c1)n2ccc3ccccc23	CHEMBL582894	pIC50=6.96
CNC[C@H](O)CCN1c2ccccc2N(c3ccc(F)cc3F)S1(=O)=O	CHEMBL1084311	pIC50=6.96
COC(=O)C(C1CCCCN1)c2ccc(Cl)cc2	CHEMBL219116	pKi=6.96
COC(=O)C1C2CCC(CC1c3ccc(\C=C/Br)cc3)N2C	CHEMBL14305	pKi=6.96
COc1ccc(cc1)C(CN(C)C)[Si]2(O)CCCCC2	CHEMBL2204341	pIC50=6.96
Cc1ccc(cc1)[C@H]2C[C@H]3CCC4C2C(=O)CN34	CHEMBL102018	pIC50=6.96
Cl.OCC(C1CCNCC1)c2ccc(Cl)c(Cl)c2	CHEMBL2407335	pIC50=6.96
FCCOC(=O)C1C2CCC(CC1c3cccc(\C=C/I)c3)N2	CHEMBL462431	pKi=6.96
Fc1cccc(Oc2c(F)cccc2Cl)c1O[C@@H]3CCNC3	CHEMBL1645617	pKi=6.96
CN(C)Cc1ccccc1Sc2ccc(CCCO)cc2N	CHEMBL413562	pKi=6.97
Clc1ccc(cc1Cl)[C@@]23CCC[C@@H]2CNC3	CHEMBL1813475	pIC50=6.97
CSc1ccc(cc1)C2CN(C)Cc3cc(OCCCN4CCOCC4)ccc23	CHEMBL246955	pKi=6.98
Cl.CNC[C@H](O)[C@@H](c1ccccc1)n2ccc3ccccc23	CHEMBL567041	pIC50=6.98
FC(F)(F)c1ccccc1OC(C2CCNCC2)c3cccnc3	CHEMBL551556	pIC50=6.98
Fc1cccc(OCc2ccccc2N3CCNCC3)c1	CHEMBL575700	pKi=6.98
CC(C)CN([C@H]1CCNC1)C(=O)c2cccc(c2Cl)C(F)(F)F	CHEMBL1077638	pKi=6.99
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3cccc(\C=C\I)c3)N2	CHEMBL216736	pKi=6.99
C[C@@H](CN1CCC(CCOC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)Cc4ccccc4.OC(=O)C(=O)O	CHEMBL444540	pKi=6.99
FCCCOc1ccc2CN(CCc2c1)[C@@H]3CC[C@H](CC3)c4c[nH]c5ccc(cc45)C#N	CHEMBL477587	pKi=6.99
FCCOC(=O)C1C2CCC(CC1c3cccc(\C=C/Br)c3)N2	CHEMBL525952	pKi=6.99
C(C1CCOCC1)[C@H]2CNCCN2c3ccc4[nH]ncc4c3	CHEMBL1170397	pKi=7.0
CCOC[C@@]12CNCC[C@@]1(C2)c3ccc(Cl)c(Cl)c3	CHEMBL1173533	pKi=7.0
CN(CC=C)C(=O)[C@]1(C[C@H]1CN)c2ccsc2	CHEMBL257603	pIC50=7.0
CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)C(=O)NCc4ccc(CCNC(=O)[C@H]5C6CCC(C[C@@H]5c7ccc(Cl)cc7)N6C)cc4	CHEMBL611961	pKi=7.0
CN1CC(c2ccccc2)c3cccc(C)c3C1	CHEMBL2206512	pKi=7.0
CNC[C@@H](O)[C@@H](N(C)c1ccc(OC)cc1)c2ccccc2	CHEMBL467513	pIC50=7.0
CNC[C@H]1C2CCC(C2)[C@@H]1c3ccc4ccccc4c3	CHEMBL111128	pKi=7.0
CNC[C@H]1CCc2ccccc2[C@H]1Oc3ccccc3C	CHEMBL497463	pIC50=7.0
CNC[C@H]1OCc2ccccc2[C@@H]1Oc3ccccc3C	CHEMBL526669	pIC50=7.0
COC[C@@]12CNC[C@H](F)[C@@]1(C2)c3ccc(Cl)c(Cl)c3	CHEMBL1173519	pKi=7.0
COc1cccc(c1)N2c3ccccc3N(CC[C@@H]4CNCCO4)S2(=O)=O	CHEMBL1830886	pIC50=7.0
COc1ccccc1CC(N2CCNCC2)c3ccc(F)cc3	CHEMBL1085567	pKi=7.0
