CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)C1=CC=CC=C1	proglumide
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)c3oc(cc3)C(=O)O)N=C(C4CCCCC4)c5ccccc15	CHEMBL388144	pKi=9.61
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL412238	pIC50=9.62
CN1C(=O)C(NC(=O)Nc2cccc(c2)S(=O)(=O)NC(=O)c3ccccc3)N=C(C4CCCCC4)c5ccccc15	CHEMBL75490	pIC50=9.62
COc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CC(=O)N5CCCC5)C2=O)c1	CHEMBL137726	pIC50=9.62
Fc1ccccc1N2C(=O)C(NC(=O)Nc3cccc(c3)C4N=NN=N4)C(=O)N(CCC5CCCC5)c6ccccc26	CHEMBL331872	pKi=9.65
CCN(CC)C(=O)CN1C(=O)C(NC(=O)Nc2cccc(OC)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL137516	pIC50=9.66
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(c3)c4nn[nH]n4)C(=O)N(CC(=O)NC(C)(C)C)c2c1)C5CCCCC5	CHEMBL294161	pIC50=9.66
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)C3=NC(=O)ON3)N=C(C4CCCCC4)c5ccccc15	CHEMBL226583	pKi=9.7
CN1C(=O)[C@H](NC(=O)Nc2cccc(Nc3nn[nH]n3)c2)N=C(C4CCCCC4)c5ccccc15	CHEMBL168263	pIC50=9.7
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(c3)C(=O)O)C(=O)N(CC(=O)NC(C)(C)C)c2c1)C4CCCCC4	CHEMBL431919	pIC50=9.7
OCc1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL415240	pKi=9.75
CC(C)CN1C(=O)[C@@H](NC(=O)Nc2ccc(cc2)c3nn[nH]n3)N=C(c4ccccc4)c5ccccc15	CHEMBL349730	pIC50=9.85
CNc1cccc(NC(=O)N[C@@H]2N=C(c3ccccn3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL324547	pKi=9.86
CN1C(=O)[C@H](NC(=O)Nc2ccc3CCN(c3c2)c4nn[nH]n4)N=C(c5ccccc5)c6ccccc16	CHEMBL166941	pIC50=9.96
[3H]c1cc(C[C@H](CC(=O)O)NC(=O)[C@@](C)(Cc2c[nH]c3ccccc23)NC(=O)OC4C5CC6CC(CC4C6)C5)cc([3H])c1N	CHEMBL83942	pKd=9.96
O=C(CN1N=C(C2CCCCC2)c3ccccc3N(CC(=O)C4CCCC4)C1=O)Nc5cccc(c5)C6=NOC(=O)N6	CHEMBL227276	pKi=9.97
CN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C(N3CC4CCC(CC4)C3)c5ccccc15	CHEMBL420783	pIC50=10.0
Cl.CN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C(N3CC4CCC(CC4)C3)c5ccccc15	CHEMBL545122	pIC50=10.0
Cc1cccc(NC(=O)NC2N=C(c3ccccc3F)c4ccccc4N(CC(=O)N5CC6CCC(CC6)C5)C2=O)c1	CHEMBL49085	pIC50=10.06
Fc1ccccc1C2=NC(NC(=O)Nc3cccc(c3)c4nn[nH]n4)C(=O)N(CC(=O)N5CC6CCC(CC6)C5)c7ccccc27	CHEMBL432266	pIC50=10.06
CN1C(=O)[C@H](NC(=O)Nc2ccc(C)c(Nc3nn[nH]n3)c2)N=C(C4CCCCC4)c5ccccc15	CHEMBL2110201	pIC50=10.13
CN(c1cccc(NC(=O)N[C@@H]2N=C(C3CCCCC3)c4ccccc4N(C)C2=O)c1)c5nn[nH]n5	CHEMBL2093059	pIC50=10.27
CNC(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)NCCOc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c4ccccc4N(C)C2=O)c1	CHEMBL509524	pKi=10.32
CNC(=O)COCC(=O)NCCCCNC(=O)COCC(=O)N[C@H]1CC[C@@]2(O)[C@H]3Cc4cc(O)cc5O[C@@H]1[C@]2(CCN3C)c45	CHEMBL452991	pKi=10.39
