CN(CCCCCCN(C)C(=O)OC1=C[N+](C)=CC=C1)C(=O)OC1=C[N+](C)=CC=C1	distigmine
NC1=C2CCCCC2=NC2=CC=CC=C12	tacrine	pKi=7.14	pKi=7.14	pKi=7.14	pIC50=6.03
CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	neostigmine	pIC50=7.59	pIC50=7.59	pIC50=7.59	pIC50=7.38
COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	donepezil	pKi=7.8	pKi=7.8	pKi=7.8	pIC50=6.8
C[N+]1=CC=CC=C1C=NO	pralidoxime	pKd=4.59	pKd=4.59	pKd=4.59
CC[N+](C)(C)C1=CC=CC(O)=C1	edrophonium	pKi=8.79	pKi=8.79	pKi=8.79	pKi=6.1
CN(CCCCCCCCCCN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	demecarium
CN(C)C(=O)OC1=C[N+](C)=CC=C1	pyridostigmine	pIC50=6.44	pIC50=6.44	pIC50=6.44	pIC50=6.44
CC(C)OP(F)(=O)OC(C)C	fluostigmine	pKi=5.22	pKi=5.22	pKi=5.22	pIC50=6.92
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C	rivastigmine	pIC50=7.43	pIC50=7.43	pIC50=7.43	pIC50=6.04
CCOP(=O)(OCC)SCC[N+](C)(C)C	echothiophate
[H][C@]12N(C)CC[C@@]1(C)C1=CC(OC(=O)NC)=CC=C1N2C	physostigmine	pIC50=9.37	pIC50=9.37	pIC50=9.37	pIC50=6.3
[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=CC=C(OC)C(O2)=C13	galantamine	pKi=7.21	pKi=7.21	pKi=7.21	pIC50=6.0
COC1=CC(O)=C(C=C1OC)C(=O)NC1=NC(=CS1)C(=O)NCCN(C(C)C)C(C)C	acotiamide	pIC50=5.52287865	pIC50=5.52287865	pIC50=5.52287865
C[N+](C)(CCCCCC[N+](C)(C)C1C2=CC=CC=C2C2=C1C=CC=C2)C1C2=CC=CC=C2C2=C1C=CC=C2	hexafluronium
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=C(Cl)C=CC=C1)CC1=C(Cl)C=CC=C1	ambenonium
Cc1nc(cc2c3ccccc3[nH]c12)C(=O)NCCCCCCCCNc4c5CCCCc5nc6ccccc46	CHEMBL3343920	pIC50=6.82
Clc1ccc(CN2CCC(CCC(=O)c3cc4CCC(=O)n5ccc(c3)c45)CC2)cc1	CHEMBL1651135	pIC50=6.82
O=C1C(CC2CCN(CC2)c3ccccc3)Cc4ccccc14	CHEMBL1085276	pIC50=6.82
CN(CCCNC(=O)CCc1c[nH]c2ccccc12)CCCNc3c4CCCCc4nc5ccccc35	CHEMBL224336	pIC50=6.83
CN(Cc1ccccc1)Cc2ccc(cc2)C3=Cc4cc(ccc4OC3=O)[N+](=O)[O-]	CHEMBL244619	pIC50=6.83
CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)N4CCc5ccccc5C4)cc23	CHEMBL1243298	pIC50=6.83
COc1ccc(cc1)c2nc(cc3c4ccccc4[nH]c23)C(=O)NCCCCCCNc5c6CCCCc6nc7ccccc57	CHEMBL3343925	pIC50=6.83
NCCCCCCCCCCNc1c2CCCCc2nc3ccccc13	CHEMBL1084092	pIC50=6.83
CCN(CC)CCCCCOc1ccc(cc1)C(=O)c2ccc(CN(C)Cc3ccccc3)cc2	CHEMBL1773486	pIC50=6.84
CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCN(CC)Cc2occc2)Cc3occc3	CHEMBL276444	pIC50=6.84
Fc1cccc(CN2CCC(CCC(=O)c3ccc4CCCCNc4c3)CC2)c1	CHEMBL308093	pIC50=6.84
[Br-].CC(C)c1ccc(NC(=O)Oc2ccc3N(C)C4[C@@](C)(CC[N+]4(C)C)c3c2)cc1	CHEMBL1173624	pIC50=6.84
CCN1C(=O)N(C)S/C/1=N\CCC2CCN(Cc3ccccc3)CC2	CHEMBL3085881	pIC50=6.85
CC\N=C/1\CCc2c1n(C)c3ccc(OC(=O)NC)c(Br)c23	CHEMBL160836	pIC50=6.85
CN(Cc1ccccc1)Cc2ccc(cc2)C(=O)c3ccc(OCCCCCN4CCCCC4)cc3	CHEMBL1773487	pIC50=6.85
CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)Nc4ccc(C)cc4)cc23	CHEMBL130956	pIC50=6.85
CN1[C@@H]2OCC[C@]2(C)c3cc(OC(=O)Nc4ccccc4C)ccc13	CHEMBL205335	pIC50=6.85
CO[P@]1(=O)OC[C@H]2COC(=O)C2=C(C)O1	CHEMBL603622	pKi=6.85
Cl.CN(C)c1ccc(cc1)C(=O)NCCNc2c3CCCCc3nc4ccccc24	CHEMBL3604192	pIC50=6.85
Cl.Cl.C(CC1CCN(Cc2ccccc2)CC1)Nc3ccc(nn3)c4ccccc4	CHEMBL3215535	pIC50=6.85
O=C1N2Cc3ccccc3C2=Nc4ccc(OCCCN5CCCCC5)cc14	CHEMBL3323036	pIC50=6.85
[Br-].[Br-].C(CCCC[n+]1ccc2ccccc2c1)CCC[n+]3ccccc3	CHEMBL3093795	pIC50=6.85
CN(CCCOc1ccc2C(=O)c3cccnc3Oc2c1)Cc4cccc(OC(=O)NCCCCCCCN5CCOCC5)c4	CHEMBL2047531	pIC50=6.86
COc1cc2CC(Oc3cccc(c3)C(C)N4CCCC4)C(=O)c2cc1OC	CHEMBL182252	pKi=6.86
C[N+]1(Cc2ccccc2)CCC(CCC(=O)c3ccc4OCCCCc4c3)CC1	CHEMBL313582	pIC50=6.86
CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)[N+](=O)[O-]	CHEMBL240792	pIC50=6.87
COc1cc(CCC(=O)NCCC(=O)NNc2c3CCCCc3nc4ccccc24)cc(OC)c1OC	CHEMBL220141	pIC50=6.87
COc1ccccc1CNCCCCCC(=O)N2CCC(CCC3CCN(CC3)C(=O)CCCCCNCc4ccccc4OC)CC2	CHEMBL242989	pIC50=6.87
C[C@@H]1CCC[C@H](C)N1Cc2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)C#N	CHEMBL3582202	pIC50=6.87
CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCN(CC)Cc2cccnc2)Cc3cccnc3	CHEMBL241974	pIC50=6.88
CN(C)C(=O)N[C@H]1CCc2c(O)cccc2C1	CHEMBL3786937	pIC50=6.88
Cl.C[C@@H](Cc1ccccc1)N(C)C(=O)Oc2cccc(c2)[C@H](C)N(C)C	CHEMBL1784955	pIC50=6.88
NCCCCCCCCCNc1c2CCCCc2nc3ccccc13	CHEMBL1083790	pIC50=6.88
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc3c4CCCCc4nc5ccccc35	CHEMBL502244	pKi=6.89
CCCCCCCNc1c2CCCCc2nc3cc(C)ccc13	CHEMBL61221	pIC50=6.89
CCCCNC(=O)OCCCCCCCCCCCCCCCCO	CHEMBL184316	pKi=6.89
CCN(CC)CCc1ccc(Oc2ccc(cc2)C(=O)c3ccc(CN(C)Cc4ccccc4)cc3)cc1	CHEMBL1773492	pIC50=6.89
CN1CC[C@]2(C)[C@H](O1)N(C)c3ccc(OC(=O)Nc4ccccc4)cc23	CHEMBL123831	pIC50=6.89
CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2	CHEMBL41	pIC50=6.89
COc1cc2CC(CCCCCc3cccc(OC)[n+]3C)C(=O)c2cc1OC.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441674	pIC50=6.89
CSc1cccc(c1)\N=C\2/NC(=O)C(CC(=O)Nc3ccc(F)c(F)c3)S2	CHEMBL2297981	pKi=6.89
Clc1ccc2[nH]c(nc2c1)c3ccc(OCCN4CCCCC4)cc3	CHEMBL2413743	pIC50=6.89
[Br-].[Br-].CC[N+]1(Cc2ccccc2[N+](=O)[O-])CCCCCN3C(=CC(=O)N(CCCCC[N+](CC)(Cc4ccccc4[N+](=O)[O-])CCCCCN5C(=O)C=C(C)N(CCCCC1)C5=O)C3=O)C	CHEMBL3621334	pIC50=6.89
CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCN(CC)Cc2ccccn2)Cc3ccccn3	CHEMBL244762	pIC50=6.9
CCc1ccccc1NC(=O)Oc2ccc3N(C)[C@@H]4[C@@](C)(CC[N+]4(C)[O-])c3c2	CHEMBL519475	pIC50=6.9
CN(CCCOc1ccc2C=C(C(=O)Oc2c1)c3ccccc3)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4	CHEMBL3828631	pIC50=6.9
COc1cc2C\C(=C/c3cccc(CN4CCCC4)c3)\C(=O)c2cc1OC	CHEMBL465027	pKi=6.9
COc1cccc(CN2CCC(CCC(=O)c3cc4CCC(=O)n5ccc(c3)c45)CC2)c1	CHEMBL1651137	pIC50=6.9
Cl.CCc1ccccc1NC(=O)Oc2ccc3N(C)[C@@H]4[C@@](C)(CC[N+]4(C)[O-])c3c2	CHEMBL539624	pIC50=6.9
Cl.CCc1ccccc1NC(=O)Oc2ccc3N(C)[C@@H]4[C@@](C)(CC[N@@+]4(C)[O-])c3c2	CHEMBL538109	pIC50=6.9
Cl.CN(C)c1ccc(cc1)C(=O)NCCCCCCCCCNc2c3CCCCc3nc4ccccc24	CHEMBL3604199	pIC50=6.9
Fc1ccc(cc1)C(N2CCN(CCN3CCCCC3)CC2)c4ccc(F)cc4	CHEMBL211520	pIC50=6.9
O=C(CCC1CCN(Cc2ccccc2)CC1)c3ccc4CCCCCNc4c3	CHEMBL74698	pIC50=6.9
O=C(CCC1CCN(Cc2ccccc2)CC1)c3ccc4NCCCCc4c3	CHEMBL75157	pIC50=6.9
CC1=CC2CC(C1)c3c(N)c4ccc(Cl)cc4nc3C2	CHEMBL140476	pIC50=6.91
CCN(CCCCCCNC1=C(C(=O)C(=C(C1=O)c2ccccc2)NCCCCCCN(CC)Cc3ccccc3OC)c4ccccc4)Cc5ccccc5OC	CHEMBL396050	pIC50=6.91
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccccc4	CHEMBL218939	pIC50=6.91
COc1cc2OC(=O)C(=Cc2cc1OC)c3ccc(CN(C)Cc4cccc(C)c4)cc3	CHEMBL427865	pIC50=6.91
COc1ccccc1CNCCCCCCNC2=CC(=O)C(=CC2=O)NCCCCCCNCc3ccccc3OC	CHEMBL243044	pIC50=6.91
[Br-].O=C(NCCc1c[nH]c2ccccc12)c3ccc(OCCCC[n+]4cccc5ccccc45)cc3	CHEMBL2159657	pKi=6.91
C(CC1CCN(Cc2ccccc2)CC1)Nc3ccc(nn3)c4ccccc4	CHEMBL25412	pIC50=6.92
C(Cc1n[nH]c2ccccc12)C3CCN(Cc4ccccc4)CC3	CHEMBL92958	pIC50=6.92
C(Nc1n[nH]c2ccccc12)C3CCN(Cc4ccccc4)CC3	CHEMBL1085285	pIC50=6.92
CC(C)n1cc(cn1)C(=O)C(F)(F)F	CHEMBL3623548	pIC50=6.92
CN(C)Cc1oc(CSCCNc2cc(F)c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL104681	pIC50=6.92
CN(CCCOc1ccc2C=CC(=O)Oc2c1)Cc3cccc(OC(=O)NCCCCCCCN4CCOCC4)c3	CHEMBL2047529	pIC50=6.92
CN(CCOCCNC(=S)NC(=O)c1ccccc1)Cc2ccccc2	CHEMBL100334	pIC50=6.92
COC1CC[N+](C)(Cc2ccccc2)CCC1C(=O)c3cc4cc(OC)c(OC)cc4s3	CHEMBL185976	pIC50=6.92
COc1cc(N)c(Cl)cc1C(=O)CCC2CCN(Cc3ccncc3)CC2	CHEMBL3417003	pIC50=6.92
COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)n(C)c2cc1OC	CHEMBL432376	pIC50=6.92
COc1ccc(\C=C\2/COc3cc(OCCCCCCCCNc4c5CCCCc5nc6ccccc46)ccc3C2=O)cc1	CHEMBL3093175	pIC50=6.92
COc1cccc(CCCCCCCc2cccc(OC)[n+]2C)[n+]1C.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441668	pIC50=6.92
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCCCNc3c4CCCCc4nc5cc(Cl)ccc35	CHEMBL3632991	pIC50=6.92
Cl.CN(Cc1ccccc1)Cc2ccc(COc3ccc4C(=CC(=O)Oc4c3)CO)cc2	CHEMBL3586608	pIC50=6.92
Cl.N#CC(=C1NCCN1CCNCc2oc(CN3CCCCCC3)cc2)C#N	CHEMBL1203538	pIC50=6.92
Nc1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)c(c4ccccc4)c1C#N	CHEMBL2088782	pIC50=6.92
O.Cl.Cl.C(CC1CCN(Cc2ccccc2)CC1)Nc3cc4CCCc5ccccc5c4nn3	CHEMBL1202865	pIC50=6.92
[Br-].COC(CC(=O)c1cc2cc(OC)c(OC)cc2s1)C3CC[N+](C)(Cc4ccccc4)CC3	CHEMBL314398	pIC50=6.92
[Br-].[Br-].C(CCCC[n+]1ccccc1)CCCC[n+]2cccc3ccccc23	CHEMBL3093801	pIC50=6.92
[I-].[I-].CC[N+](C)(CCCCCC(=O)Nc1ccc(CCc2ccc(NC(=O)CCCCC[N+](C)(CC)Cc3ccccc3OC)cc2)cc1)Cc4ccccc4OC	CHEMBL222043	pIC50=6.92
C(CCCNc1c2CCCCc2nc3ccccc13)CCCN(Cc4oc5ccccc5c4)Cc6oc7ccccc7c6	CHEMBL3753360	pIC50=6.93
COc1cc2CC(Oc3cccc(c3)C(C)N4CCOCC4)C(=O)c2cc1OC	CHEMBL183184	pKi=6.93
Cl.COc1cc(N)c(Cl)cc1C(=O)CCC2CCN(CC3CCNCC3)CC2	CHEMBL3416998	pIC50=6.93
C(CCCNc1c2CCCc2nc3ccccc13)CCNc4c5CCCc5nc6ccccc46	CHEMBL421501	pIC50=6.94
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3343930	pIC50=6.94
CCCCCCCNC(=O)Oc1ccc2CC3N(C)CC[C@@]3(C)c2c1	CHEMBL32966	pIC50=6.94
CCCCCCCNC(=O)Oc1ccc2C[C@H]3N(C)CC[C@@]3(C)c2c1	CHEMBL1083066	pIC50=6.94
CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1Cl)Cc2ccccc2Cl	CHEMBL177052	pIC50=6.95
O=C(CCC1CCN(Cc2ccccc2)CC1)c3ccc4CCNc4c3	CHEMBL74359	pIC50=6.95
CC(C)c1ccc(NC(=O)Oc2ccc3NC4NCC[C@@]4(C)c3c2)cc1	CHEMBL54470	pIC50=6.96
CCC(C)n1cc(cn1)C(=O)C(F)F	CHEMBL3623556	pIC50=6.96
CCCCCCCCNC(=O)Oc1ccc2N(C)C3N(C)CC[C@@]3(C)c2c1	CHEMBL609150	pIC50=6.96
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccc(OC)cc4	CHEMBL374184	pKi=6.96
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2[C@H]1c4cccc(c4)[N+](=O)[O-]	CHEMBL2234528	pIC50=6.96
CN(CCCOc1ccc2C=CC(=O)Oc2c1)Cc3cccc(OC(=O)NCCCCCCc4ccccc4)c3	CHEMBL3827432	pIC50=6.96
CN(Cc1ccccc1)Cc2ccc(cc2)C(=O)c3ccc(OCCCCCCCN4CCCCC4)cc3	CHEMBL1773491	pIC50=6.96
COc1cc2CC(Sc2cc1OC)C(=O)CCc3cc[n+](CC4CC4)cc3	CHEMBL189517	pIC50=6.96
COc1cc2CC[N+](C)(CCCCCCCc3cccc(OC)[n+]3C)Cc2cc1OC.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441673	pIC50=6.96
COc1cc2cc(sc2cc1OC)C(=O)CC3CCCC[N+](C)(Cc4ccccc4)CC3	CHEMBL362711	pIC50=6.96
COc1ccc2C(=O)\C(=C\c3ccc(CN(C)Cc4ccccc4)cc3)\CCc2c1	CHEMBL597794	pIC50=6.96
COc1cccc(CCCCCc2cccc(OC)[n+]2C)[n+]1C.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441666	pIC50=6.96
C\C=C\1/[C@@H]2CC3=C(C=CC(=O)N3)[C@]1(CC(=C2)C)NC4OCC5=C6CC(C)(C)C[C@H]6[C@@H](C)[C@H](O)CC45O	CHEMBL3338388	pIC50=6.96
[Br-].COc1cc2cc(sc2cc1OC)C(=O)CCCCC3CC[N+](C)(Cc4ccccc4)CC3	CHEMBL88049	pIC50=6.96
[Br-].COc1cc2cc(sc2cc1OC)C(=O)CCc3cc[n+](CC4CC4)cc3	CHEMBL87373	pIC50=6.96
[Br-].COc1ccc2[nH]cc(CCNC(=O)\C=C\c3cc[n+](Cc4cccc(F)c4)cc3)c2c1	CHEMBL3628067	pIC50=6.96
CC(=O)N(CCC1CCN(Cc2ccccc2)CC1)c3ccncc3	CHEMBL141352	pIC50=6.97
CN(Cc1ccccc1)Cc2ccc(cc2)C(=O)c3ccc(OCCCN4CCOCC4)cc3	CHEMBL1773484	pIC50=6.97
COc1cc2CC(Oc3ccc(cc3)C(C)N4CCCCC4)C(=O)c2cc1OC	CHEMBL180413	pKi=6.97
CCC1=CC2CC(C1)c3c(N)c4ccc(F)cc4nc3C2	CHEMBL341658	pIC50=6.98
CN(CCC(=O)NCCCCNc1c2CCCCc2nc3ccccc13)C4CCCCC4	CHEMBL3322157	pIC50=6.98
Fc1ccc(\C=C\2/COc3cc(OCCCCCCNc4c5CCCCc5nc6ccccc46)ccc3C2=O)cc1	CHEMBL3093180	pIC50=6.98
CN(C)C(=O)N[C@H]1CCc2ccc(O)cc2C1	CHEMBL3785207	pIC50=6.99
COc1cc(CNCCCCCCNC2=CC(=O)C(=CC2=O)NCCCCCCNCc3ccc(O)c(OC)c3)ccc1O	CHEMBL1770549	pIC50=6.99
COc1cc2[Se]N(CCCCC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	CHEMBL3086278	pIC50=6.99
Oc1cccc2C(=O)C(=CC(=O)c12)NCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3356535	pIC50=6.99
C(Cc1nsc2ccccc12)C3CCN(Cc4ccccc4)CC3	CHEMBL328102	pIC50=7.0
C(Nc1nsc2ccccc12)C3CCN(Cc4ccccc4)CC3	CHEMBL1084703	pIC50=7.0
CCCCCCCNC(=O)Oc1cccc(CN(C)CCCCOc2ccc3C(=O)c4ccccc4Oc3c2)c1	CHEMBL128780	pIC50=7.0
CCCCCCNC(=O)Oc1cccc(CN(C)CCCCCOc2ccc3C(=O)c4ccccc4Oc3c2)c1	CHEMBL1083379	pIC50=7.0
CCCCCCNC(=O)Oc1cccc(CN(C)CCCCOc2ccc3C(=O)c4ccccc4Oc3c2)c1	CHEMBL1083070	pIC50=7.0
CCCCCCNc1c2CCCCc2nc3ccc(OC)cc13	CHEMBL1618217	pIC50=7.0
CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)Cc3cc4ccc(Cl)cc4s3	CHEMBL1076243	pIC50=7.0
CCCCNC(=O)Oc1cccc(CN(CCCOc2ccc3C(=O)c4ccccc4Oc3c2)C(C)C)c1	CHEMBL131411	pIC50=7.0
CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCNC(=O)CCCCC2CCSS2)Cc3ccccc3OC	CHEMBL572480	pIC50=7.0
CCNC(=O)Oc1ccc2O[C@H]3OCC[C@@]3(C)c2c1	CHEMBL204895	pIC50=7.0
CN(CCOCCNC(=S)NC(=O)c1ccc2ccccc2c1)Cc3ccccc3	CHEMBL100510	pIC50=7.0
CN1CC[C@@]23C=C[C@H](O)C[C@@H]2Oc4c(O)ccc(C1)c34	CHEMBL1524	pIC50=7.0
CN1CC[C@]2(C)C1N(Cc3ccccc3)c4ccc(OC(=O)Nc5ccccc5C)cc24	CHEMBL54014	pIC50=7.0
CNC(=O)Oc1ccc2c(c1)c(C)cn2Nc3ccncc3F	CHEMBL295462	pIC50=7.0
CN[C@@H](CCOc1ccc(cc1)[N+](=O)[O-])c2ccc(OC(=O)N(C)C)cc2	CHEMBL194372	pIC50=7.0
COc1cc2CC(CCCCCCc3cccc(OC)[n+]3C)C(=O)c2cc1OC.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441675	pIC50=7.0
COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC	CHEMBL295124	pIC50=7.0
CSc1nc(nn1C(=O)N(C)C)c2ccc(Cl)cc2	CHEMBL130098	pIC50=7.0
C[N+]1(Cc2ccccc2)CCC(CCC(=O)c3ccc4OCCOc4c3)CC1	CHEMBL86031	pIC50=7.0
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCCCCNc3c4CCCCc4nc5cc(Cl)ccc35	CHEMBL3632992	pIC50=7.0
Cc1ccc(cc1)[N+](=O)[O-]	CHEMBL155320	pIC50=7.0
Cc1ccc2c(N)c3CCCCc3nc2c1	CHEMBL60119	pIC50=7.0
Cc1cccc2nc3CCCCc3c(N)c12	CHEMBL133906	pIC50=7.0
Cl.CCCCCCNc1c2CCCCc2nc3ccc(OC)cc13	CHEMBL1257885	pIC50=7.0
Cl.CNC(=O)Oc1ccc2N(C)[C@@H]3[C@@](C)(CC[N@@+]3(C)[O-])c2c1	CHEMBL538852	pIC50=7.0
Cl.CNC(=O)Oc1cccc(c1)C(C)N(C)C	CHEMBL188274	pIC50=7.0
Clc1ccc(cc1)c2nc(SCC3CC3)n(n2)C(=O)N4CCCCC4	CHEMBL336398	pIC50=7.0
N#Cc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1	CHEMBL92775	pIC50=7.0
[Br-].[Br-].C(CCCCC[n+]1ccc2ccccc2c1)CCCCC[n+]3ccc4ccccc4c3	CHEMBL104613	pIC50=7.0
[Br-].[Br-].CC(C)(C)c1cc[n+](\C=C/2\CC3=C\C(=C\[n+]4ccc(cc4)C(C)(C)C)\CC=C3C=C2)cc1	CHEMBL1642988	pKi=7.0
CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2NC=O	CHEMBL384563	pIC50=7.01
CCc1nc(cc2c3ccccc3[nH]c12)C(=O)NCCCCCCNc4c5CCCCc5nc6ccccc46	CHEMBL3343882	pIC50=7.01
COc1cc2[Se]N(CCC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	CHEMBL3086276	pIC50=7.01
COc1ccc(\C=C\2/COc3cc(OCCCCCNc4c5CCCCc5nc6ccccc46)ccc3C2=O)cc1	CHEMBL3093173	pIC50=7.01
Cc1ccccc1NC(=O)Oc2ccc3O[C@@H]4C[C@@](C)(CO4)c3c2	CHEMBL207777	pIC50=7.01
O=C(CCCCC1CCSS1)NCCNc2c3CCCCc3nc4ccccc24	CHEMBL192682	pIC50=7.01
O=C1N(CCC2CCN(Cc3ccccc3)CC2)Cc4ccccc14	CHEMBL333909	pIC50=7.01
COc1cc2C\C(=C/c3ccc(CN4CCCCC4)cc3)\C(=O)c2cc1OC	CHEMBL514186	pKi=7.02
Cl.N#CC(=C1NCCN1CCNCc2oc(CN3CCC=CC3)cc2)C#N	CHEMBL1203534	pIC50=7.02
ClC1=C(NCCNc2c3CCCCc3nc4ccccc24)C(=O)c5ccccc5C1=O	CHEMBL3356953	pIC50=7.02
Clc1ccc2c(NCCCCCCCNC(=O)c3n[nH]c4ccccc34)c5CCCCc5nc2c1	CHEMBL388615	pIC50=7.02
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3343931	pIC50=7.02
O=C(NC1CCN(Cc2ccccc2)CC1)c3ccc4OCCCOc4c3	CHEMBL1720480	pKi=7.02
CCCCCCCNC(=O)Oc1ccc2CC3N(CCC)CC[C@@]3(C)c2c1	CHEMBL33642	pIC50=7.03
CCCCCCCNC(=O)Oc1ccc2C[C@H]3N(CCC)CC[C@@]3(C)c2c1	CHEMBL1085383	pIC50=7.03
CCNC(=O)Oc1ccc2N(C)C3N(C)CC[C@@]3(C)c2c1	CHEMBL361409	pIC50=7.03
CCNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1	CHEMBL205340	pIC50=7.03
CN1CCN(CC2Cc3ccccc3C2=O)CC1	CHEMBL156157	pIC50=7.03
COc1cc2OC=C(C(=O)c2cc1OC)c3ccc(OC4CCN(Cc5ccccc5)CC4)cc3	CHEMBL2297280	pIC50=7.03
Cc1nc(cc2c3ccccc3[nH]c12)C(=O)NCCCCCCNc4c5CCCCc5nc6ccccc46	CHEMBL3343885	pIC50=7.03
[O-][N+](=O)OCCC(=O)NCCCNc1c2CCCCc2nc3ccccc13	CHEMBL269863	pIC50=7.03
CC1=CC(=O)Oc2cc(OCCN3CCN(CC(=O)Nc4c5CCCCc5nc6ccccc46)CC3)ccc12	CHEMBL2391486	pIC50=7.04
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2[C@H]1c4ccc(C)cc4	CHEMBL2234530	pIC50=7.04
COc1cc2OC(=O)C(=Cc2cc1OC)C(=O)NCCCCCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3327248	pKi=7.04
O=C(NCCCCCCNc1c2CCCCc2nc3ccccc13)c4cc5c(cn4)[nH]c6ccccc56	CHEMBL3343922	pIC50=7.04
CCCCNC(=O)Oc1ccc2CC3N(CC)CC[C@@]3(C)c2c1	CHEMBL32452	pIC50=7.05
CCCCNC(=O)Oc1ccc2C[C@H]3N(CC)CC[C@@]3(C)c2c1	CHEMBL1085125	pIC50=7.05
CN(CCCOc1ccc2C(=O)c3cccnc3Oc2c1)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4	CHEMBL2047530	pIC50=7.05
CN(CCCOc1ccc2C3=C(CCCC3)C(=O)Oc2c1)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4	CHEMBL3827734	pIC50=7.05
COc1cc(cc(OC)c1OC)C(=O)NCCC(=O)NNc2c3CCCCc3nc4ccccc24	CHEMBL266045	pIC50=7.05
COc1cc2CC(Sc2cc1OC)C(=O)CC3(O)CC[N+](C)(Cc4ccccc4)CC3	CHEMBL360832	pIC50=7.05
COc1ccc(cc1)C2=CC3=C(C[C@]4(O)[C@@](C)(CC[C@]5(O)C(C)(C)C(=O)C=C[C@]45C)O3)C(=O)O2	CHEMBL424984	pIC50=7.05
C[C@@H]1CCC[C@H](C)N1S(=O)(=O)c2cc(Cl)ccc2Cl	CHEMBL582883	pIC50=7.05
Fc1ccc(CN2CCC(CCC(=O)c3ccc4NCCc4c3)CC2)cc1	CHEMBL74832	pIC50=7.05
NCCCCCCCCNc1c2CCCCc2nc3ccccc13	CHEMBL258928	pIC50=7.05
[Br-].COc1cc2cc(sc2cc1OC)C(=O)CC3(O)CC[N+](C)(Cc4ccccc4)CC3	CHEMBL83005	pIC50=7.05
[Br-].[Br-].C(CCC[n+]1cccc2ccccc12)CCC[n+]3cccc4ccccc34	CHEMBL1761994	pIC50=7.05
[Br-].[Br-].CC(C)(C)c1cc[n+](CCCCCCCC[n+]2ccc(cc2)C(C)(C)C)cc1	CHEMBL1642977	pKi=7.05
