CS(=O)(=O)N1C=C2CN(CC2=N1)[C@H]1CO[C@@H]([C@@H](N)C1)C1=C(F)C=CC(F)=C1	omarigliptin	pKi=9.09691048	pKi=9.09691048	pKi=9.09691048	pIC50=8.59
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=CC(F)=CC=C2C#N)C1=O	trelagliptin	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.4
[H][C@]1(CN[C@@]([H])(C1)C(=O)N1CCSC1)N1CCN(CC1)C1=CC(C)=NN1C1=CC=CC=C1	teneligliptin	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43
CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N	anagliptin	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42
N[C@H](CN1CC(F)(F)CCC1=O)CC(=O)N1CCC2=C(N=C(N=C2C1)C(F)(F)F)C(F)(F)F	gemigliptin	pIC50=7.79587984	pIC50=7.79587984	pIC50=7.79587984
N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1	sitagliptin	pKi=7.774	pKi=7.774	pKi=7.774	pIC50=6.96
OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N	vildagliptin	pKi=8.52	pKi=8.52	pKi=8.52	pIC50=6.92
[H][C@@](N)(C(=O)N1[C@@]2([H])C[C@@]2([H])C[C@@]1([H])C#N)C12CC3CC(CC(O)(C3)C1)C2	saxagliptin	pKi=9.22	pKi=9.22	pKi=9.22	pIC50=7.3
CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=CC=CC=C3C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1	linagliptin	pIC50=10.0	pIC50=10.0	pIC50=10.0	pIC50=8.7
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O	alogliptin	pIC50=9.0	pIC50=9.0	pIC50=9.0	pIC50=7.62
CC(C)(C)C[C@H](N)C(=O)N1CC[C@@H]2C[C@H]12	CHEMBL395184	pKi=6.0
Cc1onc(n1)N2CCN(CC2)C(=O)[C@@H]3CN[C@@H](C3)C(=O)N4CCCC4	CHEMBL270395	pIC50=6.22
Cl.C[C@H](N)C(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)[C@@H](C)N)cc2)C3CCCN3C(=O)C4CCCN4)cc1	CHEMBL269209	pIC50=6.22
Cl.N[C@@H](CC(=O)N1CCCN(CC1)c2ncccn2)Cc3cc(F)c(F)cc3F	CHEMBL519773	pIC50=6.22
Cl.N[C@@H](CC(=O)N1CCSC1C(=O)O)Cc2cc(F)c(F)cc2F	CHEMBL1683476	pIC50=6.22
N[C@@H](CC(=O)N1CCNC[C@H]1c2ccc(F)cc2)Cc3ccccc3F	CHEMBL182861	pIC50=6.22
N[C@@H](CC(=O)N1[C@H](CNC(=O)c2ccccc2)C[C@@H]3CCCC[C@H]13)Cc4cc(F)c(F)cc4F	CHEMBL3357779	pIC50=6.22
O=C(CNCC12C[C@@H]3C[C@@H](C[C@@H](C3)C1)C2)N4CCC[C@H]4C#N	CHEMBL316832	pIC50=6.22
CN1C(=O)C=C(NC2CCCCNC2)N(Cc3ccccc3C#N)C1=O	CHEMBL1650447	pIC50=6.23
Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc3cc(cc(c3)C(F)(F)F)C(F)(F)F)Cc4cc(F)c(F)cc4F	CHEMBL536312	pIC50=6.23
N[C@@H](CC(=O)N1CCCc2n[nH]c(c12)C(F)(F)F)Cc3cc(F)ccc3F	CHEMBL364461	pIC50=6.23
N[C@@H](CC(=O)N1CCSC1)Cc2ccc(F)cc2F	CHEMBL184912	pIC50=6.23
N[C@H]1CN(CCN2CCOCC2)C(=O)C[C@@H]1c3cc(F)c(F)cc3F	CHEMBL375437	pKi=6.23
CC#CCn1c(nc(C#N)c1C(=O)NCc2cccc3ccccc23)N4CCCC(N)C4	CHEMBL402573	pIC50=6.24
CC(C)(C)C#CC1=CN=C(N2CCC[C@@H](N)C2)N(Cc3ccccc3C#N)C1=O	CHEMBL1650425	pIC50=6.24
CC(C)([C@H](N)C(=O)N1C[C@@H](F)C[C@H]1C#N)S(=O)(=O)Cc2ccc(cc2)c3ccccc3	CHEMBL199450	pKi=6.24
CCCC[S+](CCCC)Cc1ccc2NC(=O)[C@@H]3CCCN3C(=O)[C@@H](N)CCCCNC(=O)CNC(=O)CNC(=O)c1c2.OC(=O)C(F)(F)F.[O-]C(=O)C(F)(F)F	CHEMBL67679	pIC50=6.24
CN1C(=O)N(C)c2nc(N3CCNCC3)n(CC=C(C)C)c2C1=O	CHEMBL235352	pIC50=6.24
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)C3=C(C)N(C)C(=O)C(=C3)Br.OC(=O)C(F)(F)F	CHEMBL203323	pIC50=6.24
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3cncnc3.OC(=O)C(F)(F)F	CHEMBL192449	pIC50=6.24
Cc1onc(C)c1S(=O)(=O)N(CCCC(F)(F)F)[C@@H]2CC[C@H](CC2)[C@H](N)Cc3cc(F)ccc3F	CHEMBL1683094	pIC50=6.24
Cn1c2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)C(C)(C)c2nc1C(F)(F)F	CHEMBL248615	pIC50=6.24
Cn1c2CCN(C(Cc3ccccc3)c2nc1C(F)(F)F)C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F	CHEMBL250284	pIC50=6.24
N[C@@H](CC(=O)NC1(CCS(=O)(=O)CC1)c2ccccc2)Cc3ccccc3F	CHEMBL512145	pIC50=6.24
OB(O)[C@@H]1CCCN1C(=O)[C@@H]2C[C@@H](CC(=O)N3Cc4ccccc4C3)C(=O)N2	CHEMBL1243184	pIC50=6.24
CC#CCn1c(nc(Br)c1C(=O)NCc2cccc3ccccc23)N4CCCC(N)C4	CHEMBL402111	pIC50=6.25
CC12CC3(C)CC(C)(C1)CC(C3)(C2)NCC(=O)N4CCC[C@@H]4B(O)O	CHEMBL381444	pIC50=6.25
C[C@@H]([C@H](N)C(=O)N1CCCC1)c2oc(nn2)c3ccc(Cl)cc3Cl.OC(=O)C(F)(F)F	CHEMBL220402	pIC50=6.25
N[C@@H](CC(=O)N1CCN(CC1)c2ccccc2c3ccccc3)Cc4cc(F)c(F)cc4F	CHEMBL2069833	pIC50=6.25
N[C@@H](CCCCNc1ccc2ccccc2c1)C(=O)N3C[C@H](C[C@H]3C#N)N=[N+]=[N-]	CHEMBL472128	pIC50=6.25
O=C(CCNCC(=O)N1CCC[C@H]1C#N)NCCc2ccccc2	CHEMBL201544	pIC50=6.25
O=C([C@@H]1CCCN1)N2CCSC2	CHEMBL224435	pIC50=6.25
CC(C)C(N)C(=O)N1CCCC1	CHEMBL16709	pIC50=6.26
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CCCCC1)c2ccc(cc2)c3ccc(F)cc3.OC(=O)C(F)(F)F	CHEMBL190923	pIC50=6.26
COc1ccccc1c2cn3c(c(CN)c(C)nc3n2)c4cccc(F)c4	CHEMBL1270860	pKi=6.26
N[C@@H]([C@H]1CC[C@H](C1)NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C(=O)N3CCCC3	CHEMBL366751	pIC50=6.26
CC1=C(C(=O)N(Cc2ccccc2C#N)C(=N1)N3CCC[C@@H](N)C3)c4ccccc4	CHEMBL1650415	pIC50=6.27
Cc1nc(CN2C(=O)c3c(nc(N4CCC[C@@H](N)C4)n3C)N5CCN=C25)nc6ccccc16	CHEMBL3675623	pIC50=6.27
NC(CC(=O)N1CCC[C@H]1C(=O)NCc2ccccc2)Cc3ccccc3F.OC(=O)C(F)(F)F	CHEMBL186596	pIC50=6.27
N[C@@H](CC(=O)N1CCC[C@H]1C(=O)NCc2ccccc2)Cc3ccccc3F	CHEMBL231551	pIC50=6.27
N[C@@H](CC(=O)N1CC[C@@H]2[C@H](CCc3nnc(n23)C(F)(F)F)C1)Cc4cc(F)c(F)cc4F	CHEMBL3425748	pIC50=6.27
N[C@@H](CC(=O)N1[C@H](CNC(=O)C2CC2)C[C@@H]3CCCC[C@H]13)Cc4cc(F)c(F)cc4F	CHEMBL3357776	pIC50=6.27
CC([C@H](N)C(=C1CCCC1)F)c2onc(n2)c3ccc(cc3Cl)C(F)(F)F.OC(=O)C(F)(F)F	CHEMBL255351	pIC50=6.28
CC[C@H](C)[C@H](N)C(=O)N1CC[C@@H]2C[C@H]12	CHEMBL238014	pKi=6.28
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CCOCC1)c2ccc(cc2)c3ccc(F)cc3	CHEMBL388900	pIC50=6.28
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CCOCC1)c2ccc(cc2)c3ccc(F)cc3.OC(=O)C(F)(F)F	CHEMBL371347	pIC50=6.28
CN1C(=O)N(Cc2ccccc2C#N)c3c(ccnc13)N4CCCCC(N)C4	CHEMBL3329688	pIC50=6.28
C[C@@H]([C@H](N)C(=O)N1CCCC1)c2onc(n2)c3ccc(NS(=O)(=O)C)cc3	CHEMBL218911	pIC50=6.28
Cc1ccc(CS(=O)(=O)C(C)(C)[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cc1	CHEMBL369952	pKi=6.28
NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N2CCCC2	CHEMBL3350816	pKi=6.28
N[C@@H](CC(=O)N1C[C@@H](F)C[C@H]1C#N)Cc2ccc(Cl)c(Cl)c2	CHEMBL3330058	pIC50=6.28
N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)N2C[C@H](C[C@H]2C#N)N=[N+]=[N-]	CHEMBL471747	pIC50=6.28
N[C@@H](Cc1ccccn1)C(=O)N2CCC[C@H]2C#N	CHEMBL3127983	pIC50=6.28
O=C(CCNCC(=O)N1CCC[C@H]1C#N)N2CCN(CC2)c3nc4ccccc4s3	CHEMBL383841	pIC50=6.28
CCOCc1ccc(s1)c2ccc(s2)c3cccs3	CHEMBL3343903	pIC50=6.29
COc1cc2CCN3CC(C(N)CC3c2cc1OC)N4CCCC4=O	CHEMBL590326	pIC50=6.29
C[C@@H](C#N)N(C)C(=O)[C@@H](N)C(C)(C)C	CHEMBL203134	pKi=6.29
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3ccc(cc3)C(F)(F)F.OC(=O)C(F)(F)F	CHEMBL192980	pIC50=6.29
Cl.CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)C2CCC(CC2)NS(=O)(=O)c3ccc(F)cc3F	CHEMBL246170	pIC50=6.29
Cl.N[C@@H](CC(=O)N1CCCN(CC1)C(=O)c2ccccc2)Cc3cc(F)c(F)cc3F	CHEMBL482338	pIC50=6.29
Cl.N[C@@H](CC(=O)N1N=CCC1C(=O)Nc2ccc(OCC(=O)O)cc2)Cc3cc(F)c(F)cc3F	CHEMBL488022	pIC50=6.29
NC(CC(=O)N1CCC[C@H]1C(=O)NCc2ccc(cc2)C(=O)O)Cc3ccccc3.OC(=O)C(F)(F)F	CHEMBL425347	pIC50=6.29
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3ccc(cc3)C(F)(F)F	CHEMBL245181	pIC50=6.29
N[C@@H](CC(=O)N1[C@H](CO)C[C@@H]2CCCC[C@H]12)Cc3cc(F)c(F)cc3F	CHEMBL3357774	pIC50=6.29
CN(CC#N)C(=O)[C@@H](N)C(C)(C)C	CHEMBL205253	pKi=6.3
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)S(=O)(=O)c3cn(C)cn3	CHEMBL1683087	pIC50=6.3
CN1C(=O)N(Cc2cc(cc(c2)C(=O)O)C(=O)O)C(=O)c3c1nc(N4CCC[C@@H](N)C4)n3Cc5ccccc5Cl	CHEMBL3402118	pIC50=6.3
Cl.Cc1ccc(cc1)S(=O)(=O)N2CCCN2C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F	CHEMBL534960	pIC50=6.3
Cl.NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)C3CCCN3C(=O)C4CCCN4)cc1	CHEMBL9512	pIC50=6.3
Cl.N[C@@H](CC(=O)N1CCCCN1C(=O)c2ccccc2)Cc3cc(F)c(F)cc3F	CHEMBL535180	pIC50=6.3
N[C@@H](C1CCCCC1)C(=O)N2C[C@@H](F)[C@H](F)C2	CHEMBL382531	pKi=6.3
CC1N(CCc2c1nc(C3CC3)n2C)C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F	CHEMBL400911	pIC50=6.31
CCOC(=O)N1CC(N)C(C1)c2ccc(Cl)cc2Cl	CHEMBL247774	pKi=6.31
COc1ccccc1c2cn3c(c(CN)c(C)nc3n2)c4ccc(Cl)c(F)c4	CHEMBL1270961	pKi=6.31
Cl.N[C@@H](CC(=O)N1CCCN(CC1)C(=O)OCc2ccccc2)Cc3cc(F)c(F)cc3F	CHEMBL481714	pIC50=6.31
Cl.N[C@@H](CC(=O)N1CCCN(CC1)C(=O)c2ccc3OCOc3c2)Cc4cc(F)c(F)cc4F	CHEMBL480550	pIC50=6.31
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3ccccc3C(F)(F)F	CHEMBL397744	pIC50=6.31
N[C@@H](CC(=O)NC1(CCS(=O)(=O)CC1)c2cccc(c2)c3ccncc3)Cc4ccccc4F	CHEMBL2206466	pIC50=6.31
N[C@H]1CN(C[C@@H]1N2CCCC2=O)c3cc(ncn3)c4cc(F)c(F)cc4F	CHEMBL1683558	pIC50=6.31
O=C(CNCCCc1ccccc1)N2CCC[C@H]2C#N	CHEMBL96890	pIC50=6.31
CC(C)N1C(=O)N(Cc2ccccc2C#N)c3c(ccnc13)N4CCC[C@@H](N)C4	CHEMBL3329628	pIC50=6.32
CCCNCC(=O)N1CCC[C@H]1C#N	CHEMBL320143	pIC50=6.32
COc1ccc(NC(=O)O[C@H]2CCC[C@@H](C2)[C@H](N)C(=O)N3CCCC3)cc1	CHEMBL352737	pIC50=6.32
C[C@@H](B(O)O)N1CC[C@H](N)C1=O	CHEMBL2068512	pIC50=6.32
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(Cl)cc2F.OC(=O)C(F)(F)F	CHEMBL370734	pIC50=6.32
Cc1nc2CCN(Cc2s1)C(=O)C[C@H](N)Cc3cc(F)ccc3F	CHEMBL196333	pIC50=6.32
CC(C)(C)CCNCC(=O)N1CCC[C@H]1C#N	CHEMBL94647	pIC50=6.33
CC(C)[C@H](N)C(=O)N1CCCC1	CHEMBL383705	pKi=6.33
CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O	CHEMBL67279	pIC50=6.33
N[C@@H](CC(=O)NC1(CCS(=O)(=O)CC1)c2ccccn2)Cc3ccccc3F	CHEMBL469325	pIC50=6.33
N[C@@H](Cc1ccc(cc1)C(=O)O)C(=O)N2CCC[C@H]2C#N	CHEMBL382281	pKi=6.33
N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3cc(ccn3)C(F)(F)F.OC(=O)C(F)(F)F	CHEMBL389602	pIC50=6.33
N[C@H]1CN(C[C@@H]1c2cc(F)c(F)cc2F)c3cc(ncn3)c4ccc(Cl)cc4	CHEMBL412585	pIC50=6.33
CC#CCN1C(=O)c2[nH]ccc2N=C1N3CCC[C@@H](N)C3	CHEMBL2346921	pIC50=6.34
CC(C)COCC1(CCCC1)NCC(=O)N2[C@H](CC[C@H]2C#N)C#N	CHEMBL378709	pIC50=6.34
CCN1CC2CN(CCN2C1=O)C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F.OC(=O)\C=C\C(=O)O	CHEMBL1276620	pIC50=6.34
CC[C@@H](C)[C@H](N)C(=O)N1CCSC1	CHEMBL191775	pIC50=6.34
Cl.C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)C2CCC(CC2)NS(=O)(=O)c3ccc(F)cc3F	CHEMBL246372	pIC50=6.34
Cl.N[C@@H](CC(=O)N1CCn2cnnc2C1)Cc3ccc(F)c(F)c3	CHEMBL537625	pIC50=6.34
CC(=O)N1CCC(CC1)[C@H](N)Cc2cc(F)ccc2F	CHEMBL1683129	pIC50=6.35
CCC(C)[C@H](N)C(=O)N1COC[C@H]1C#N	CHEMBL328123	pKi=6.35
CCC(NC(=O)CCNCC(=O)N1CCC[C@H]1C#N)c2ccccc2	CHEMBL201695	pIC50=6.35
CCNCC(=O)N1CCC[C@H]1C#N	CHEMBL330670	pIC50=6.35
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CCC(F)(F)C1)[C@@H]2CC[C@@H](CC2)C3CCc4ncnn4C3	CHEMBL235198	pIC50=6.35
CNC(=O)c1nc(N2CCCC(N)C2)n(Cc3ccccc3C#N)c1C(=O)NC	CHEMBL1161914	pKi=6.35
COc1ccc(cn1)N2C[C@H](CN)[C@H](CC2=O)c3cc(F)ccc3F	CHEMBL3236107	pIC50=6.35
NC[C@H]1CN(C(=O)C[C@@H]1c2cc(F)ccc2F)c3ccc(nc3)C(F)(F)F	CHEMBL3236108	pIC50=6.35
N[C@@H](CC(=O)N1C[C@@H](F)C[C@H]1C#N)Cc2ccccc2	CHEMBL3330049	pIC50=6.35
N[C@H](Cc1cc(F)ccc1F)C2CCN(CC2)c3ccccn3	CHEMBL1683131	pIC50=6.35
O=C(CCNCC(=O)N1CCC[C@H]1C#N)NCc2ccccc2	CHEMBL382907	pIC50=6.35
CC(C)(CC(=O)NCc1ccccn1)NCC(=O)N2CCC[C@H]2C#N	CHEMBL216296	pIC50=6.36
CCOC(=O)c1ccc(cc1)c2ccc(cc2)[C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3.OC(=O)C(F)(F)F	CHEMBL363175	pIC50=6.36
CC[C@H](C)[C@H](N)C(=O)N1CCCC1	CHEMBL503274	pKi=6.36
CC[C@H](C)[C@H](N)C(=O)N1C[S+]([O-])C[C@H]1C#N	CHEMBL2115247	pKi=6.36
COc1ccccc1c2cn3c(c(CN)c(C)nc3n2)c4ccc(C)c(F)c4	CHEMBL1270962	pKi=6.36
C[C@H](N)C(=O)N[C@@H](C)B(O)O	CHEMBL3639856	pIC50=6.36
Cc1nc2nc(nn2c(c1CN)c3ccc(Cl)cc3Cl)N4CCN(CC4)C(=O)OC(C)(C)C	CHEMBL1209850	pKi=6.36
Cl.C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)C2CCC(CC2)NS(=O)(=O)c3ccc(OC(F)(F)F)cc3	CHEMBL246373	pIC50=6.36
Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc3ccccc3C(F)(F)F)Cc4cc(F)c(F)cc4F	CHEMBL536090	pIC50=6.36
N[C@@H](CC(=O)N1[C@@H](C[C@@H]2CCC[C@H]12)C#N)Cc3ccccc3	CHEMBL3330062	pIC50=6.36
N[C@@H]([C@@H]1CC[C@@H](C1)NC(=O)Nc2cccc3ccccc23)C(=O)N4CCCC4	CHEMBL171609	pIC50=6.36
N[C@H]1CN(Cc2ccccc2)C(=O)C[C@@H]1c3cc(F)c(F)cc3F	CHEMBL224091	pKi=6.36
O=C(CNCc1cccc2ccccc12)N3CCC[C@H]3C#N	CHEMBL96577	pIC50=6.36
CC(C)([C@H](N)C(=O)N1C[C@@H](F)C[C@H]1C#N)S(=O)(=O)Cc2ccc(OCc3ccccc3)cc2	CHEMBL383573	pKi=6.37
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)N(C)S(=O)(=O)c3ccc(C)cc3.OC(=O)C(F)(F)F	CHEMBL429653	pIC50=6.37
CN[C@@H]1CCCN(C1)c2ccnc3N(C)C(=O)N(Cc4ccccc4C#N)c23	CHEMBL3329692	pIC50=6.37
COc1cc2CCN3CC(C(N)CC3c2cc1OC)N4CCCCCC4=O	CHEMBL592547	pIC50=6.37
COc1ccc(cc1)c2cnc(nc2)N3CC(N)C(C3)c4ccc(Cl)cc4Cl	CHEMBL245356	pKi=6.37
CS(=O)(=O)NC[C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F	CHEMBL3357781	pIC50=6.37
Cl.N[C@@H](CC(=O)N1CCCN(CC1)c2cnccn2)Cc3cc(F)c(F)cc3F	CHEMBL481158	pIC50=6.37
Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1C(O)c3ccc(F)cc3)Cc4cc(F)c(F)cc4F	CHEMBL536536	pIC50=6.37
N[C@@H](CC(=O)N1C[C@@H](F)C[C@H]1C#N)Cc2ccc(I)cc2	CHEMBL3330054	pIC50=6.37
N[C@@H](CC(=O)N1[C@H](CNC(=O)C2CCCC2)C[C@@H]3CCCC[C@H]13)Cc4cc(F)c(F)cc4F	CHEMBL3357778	pIC50=6.37
N[C@@H]1CCCN(C1)C2=NC=C(F)C(=O)N2Cc3ccc(F)cc3C#N	CHEMBL1650431	pIC50=6.37
N[C@H](Cc1cc(F)ccc1F)C2CCN(CC2)c3ccncc3	CHEMBL1683133	pIC50=6.37
O=C(CCCNCC(=O)N1CCC[C@H]1C#N)N2CCc3ccccc3C2	CHEMBL371057	pIC50=6.37
CC[C@H](C)[C@H](N)C(=O)N1CCSC1	CHEMBL98408	pIC50=6.38
COc1ccc(NC(=O)O[C@H]2CCC[C@@H](C2)[C@H](N)C(=O)N3CCSC3)cc1	CHEMBL433533	pIC50=6.38
CS(=O)(=O)c1ccc(cc1)S(=O)(=O)N[C@H]2CC[C@H](C2)[C@H](N)C(=O)N3CCCC3	CHEMBL433732	pIC50=6.38
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3ccc(cc3)S(=O)(=O)C.OC(=O)C(F)(F)F	CHEMBL194437	pIC50=6.38
Cl.N[C@@H]1CCCN(C1)c2nc3c4ccccc4NC(=O)c3n2Cc5ccccc5Cl	CHEMBL2147057	pIC50=6.38
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@H]2[C@@H]3CN(C[C@H]23)c4ccc(F)cc4C#N	CHEMBL479803	pIC50=6.38
O=C([C@@H]1CN[C@@H](C1)C(=O)N2CCCC2)N3CCN(CC3)c4nc(ns4)c5ccccc5	CHEMBL258101	pIC50=6.38
CCCc1nc2CN(CCc2c(n1)C(F)(F)F)C(=O)C[C@H](N)CN3C(O)C(F)CCC3=O	CHEMBL3644799	pIC50=6.39
Cc1nc(sc1C)N2CCN(CC2)C(=O)[C@@H]3CN[C@@H](C3)C(=O)N4CCCC4	CHEMBL271870	pIC50=6.39
Cl.N[C@@H](CC(=O)N1CCCN(CC1)C(=O)c2cccnc2)Cc3cc(F)c(F)cc3F	CHEMBL481554	pIC50=6.39
Cl.N[C@@H](CC(=O)N1CCCN(CC1)S(=O)(=O)c2ccc(cc2)[N+](=O)[O-])Cc3cc(F)c(F)cc3F	CHEMBL482071	pIC50=6.39
NC[C@H]1CN(C(=O)C[C@@H]1c2cc(F)ccc2F)c3ccc(nc3)C#N	CHEMBL3236109	pIC50=6.39
N[C@@H](CC(=O)N1CCN(Cc2ccccc2)C[C@H]1Cc3ccccc3)Cc4ccccc4F	CHEMBL184380	pIC50=6.39
CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)C)cc2)C3CCCN3C(=O)[C@@H]4CCCN4)cc1	CHEMBL2153742	pIC50=6.4
CCC(CC)NCC(=O)N1CCC[C@H]1C#N	CHEMBL330326	pIC50=6.4
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)S(=O)(=O)c3ccc(OC(F)(F)F)cc3	CHEMBL1682980	pIC50=6.4
COc1cccc(c1)C(=O)CN2C=Nc3c(C#N)c(N4CCNCC4)n(Cc5ccccc5)c3C2=O	CHEMBL1951418	pIC50=6.4
C[C@H](NC(=O)[C@@H](N)C12CC3CC(CC(C3)C1)C2)C#N	CHEMBL377944	pKi=6.4
C[C@H]1CCN([C@H](C)C(=O)N1)C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL394836	pIC50=6.4
Cl.CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)C)cc2)C3CCCN3C(=O)C4CCCN4)cc1	CHEMBL265344	pIC50=6.4
Cl.CCN1C(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc4ccccc4Cl)c5ccccc15	CHEMBL2147184	pIC50=6.4
Cl.CS(=O)(=O)Nc1ccc(OP(=O)(Oc2ccc(NS(=O)(=O)C)cc2)C3CCCN3C(=O)C4CCCN4)cc1	CHEMBL9433	pIC50=6.4
Cn1cnc2ccc(c(CN)c12)c3ccccc3CO	CHEMBL256252	pIC50=6.4
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3ccc(F)cc3.OC(=O)C(F)(F)F	CHEMBL191067	pIC50=6.41
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3ccc(C)cc3.OC(=O)C(F)(F)F	CHEMBL191514	pIC50=6.41
C[C@H]([C@H](N)C(=O)N1CC[C@](C)(F)C1)C2CCC(CC2)c3ccc(F)cc3	CHEMBL392524	pIC50=6.41
Cl.N[C@@H](CC(=O)N1CCCN(Cc2ccccc2)CC1)Cc3cc(F)c(F)cc3F	CHEMBL520089	pIC50=6.41
N[C@@H](CC(=O)NC1(CCS(=O)(=O)CC1)c2cccc(c2)c3nccs3)Cc4ccccc4F	CHEMBL2206467	pIC50=6.41
N[C@@H](Cc1csc(n1)c2ccccc2)C(=O)N3C[C@@H](F)C[C@H]3C#N	CHEMBL3127988	pIC50=6.41
N[C@@H]([C@@H](CO)c1ccc(cc1)c2ccc(F)cc2)C(=O)N3CC[C@H](F)C3.OC(=O)C(F)(F)F	CHEMBL365567	pIC50=6.41
CC(=O)NCC(=O)N1CCC[C@H]1B(O)O	CHEMBL217561	pKi=6.42
CSc1ccc(cc1)c2nc3CCN(Cc3s2)C(=O)C[C@H](N)Cc4cc(F)ccc4F	CHEMBL425200	pIC50=6.42
Cl.CN(C)C(=O)CC1N(CCn2c1nnc2C(F)(F)F)C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F	CHEMBL556979	pIC50=6.42
Cn1cnc2C(N(CCc12)C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)C(F)(F)F	CHEMBL400954	pIC50=6.42
NC[C@H]1CN(C(=O)C[C@@H]1c2cc(F)ccc2F)c3ccc(F)cc3	CHEMBL3236102	pIC50=6.42
NC[C@H]1CN(C(=O)C[C@@H]1c2cc(F)ccc2F)c3ccc(cc3)C#N	CHEMBL3236101	pIC50=6.42
N[C@@H](C1CCCCC1)C(=O)N2CCC[C@H]2B(O)O	CHEMBL3686737	pIC50=6.42
N[C@@H](CC(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC3CC3)Cc4cc(F)c(F)cc4F	CHEMBL3357765	pIC50=6.42
O=C(CNCCC(c1ccccc1)c2ccccc2)N3CCC[C@H]3C#N	CHEMBL327264	pIC50=6.42
CC(N)(CO)C(O)NCC(=O)N1CCC[C@H]1C#N	CHEMBL96607	pIC50=6.43
CCCC[C@H](N)C(=O)N[C@H](CCCC)B(O)O	CHEMBL194249	pIC50=6.43
CN1C(=O)N(C)c2nc(N)c(CN)c(c3cccc(Cl)c3Cl)c2C1=O	CHEMBL2159183	pIC50=6.43
