COC1=CC(CNC(=O)CCCC\C=C/C(C)C)=CC=C1O	zucapsaicin	pEC50=7.71000004	pEC50=7.71000004	pEC50=7.71000004
COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1	capsaicin	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=8.1
CC(=O)NC1=CC=C(O)C=C1	paracetamol
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4ccc(F)cc34)cc12	CHEMBL3682362	pIC50=7.28
CN1C(=O)NCc2c(NC(=O)N[C@@H]3C[C@](C)(Oc4ccccc34)C(F)F)cccc12	CHEMBL3677312	pIC50=7.28
FCC1(CF)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(F)cc4O1	CHEMBL3682338	pIC50=7.28
Fc1ccc2C(CCc2c1)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL428946	pIC50=7.28
Oc1ccc2cccc(NC(=O)NCCc3ccccc3)c2c1	CHEMBL147022	pKi=7.28
CC(C(=O)NCc1ccc(nc1OCc2ccncc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385218	pKi=7.29
CCCCC\C=C\C\C=C\C\C=C\C\C=C\CCCC=O	CHEMBL373333	pIC50=7.29
CN1C(=O)NCc2c(NC(=O)N[C@@H]3C[C@](C)(CF)Oc4cc(Cl)ccc34)cccc12	CHEMBL3677306	pIC50=7.29
COc1cc(CNC(=O)CCCCCCCc2ccccc2)ccc1B(O)O	CHEMBL3770079	pEC50=7.29
FC(F)(F)c1cccc(CNC(=O)Nc2cccc3cnccc23)c1	CHEMBL322396	pIC50=7.29
Fc1cccc(CC(=O)NCc2cc(nn2c3cccc(Cl)c3)C(F)(F)F)c1	CHEMBL3689057	pKi=7.29
CC(C(=O)NCc1ccc(nc1N2CCCC2)C(F)(F)F)c3ccc(CNS(=O)(=O)C)c(C)c3	CHEMBL3694606	pKi=7.3
CCCCCCCCC(=O)NCc1cc(OC)c(O)cc1Cl	CHEMBL187993	pIC50=7.3
CCCCCCn1nc(cc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(C)(C)C	CHEMBL3684330	pKi=7.3
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCc1ccc(O)c(O)c1	CHEMBL138921	pEC50=7.3
CCOCCOc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385257	pKi=7.3
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CCOc4cc(ccc34)C(F)(F)F)cc12	CHEMBL3677335	pIC50=7.3
CC1CCN(CC1)c2nc(ccc2CNC(=O)C(C)(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F	CHEMBL3427118	pKi=7.31
CC1CCN(CC1)c2nc(ccc2CNC(=O)C(Cc3ccc(F)cc3)c4ccc(NS(=O)(=O)C)c(F)c4)C(F)(F)F	CHEMBL3427114	pKi=7.31
COCCOc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385256	pKi=7.31
CS(=O)(=O)Nc1ccc(cc1F)C(C(=O)NCc2ccc(nc2SC3CCCCC3)C(F)(F)F)c4cccc(F)c4	CHEMBL3427104	pKi=7.31
Fc1cc(cc(F)c1F)N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL457186	pKi=7.31
CC1CCN(CC1)c2nc(ccc2CNC(=O)Nc3cccc4nccnc34)C(F)(F)F	CHEMBL3393842	pKi=7.32
CN1Cc2ccc(NC(=O)N[C@@H]3C[C@@](C)(Oc4ccccc34)C(F)(F)F)cc2NC1=O	CHEMBL3677317	pIC50=7.32
Fc1cccc(c1)[C@@H]2CC[C@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644123	pIC50=7.32
CC(NC(=O)Nc1cccc2[nH]ncc12)c3ccc(cc3)C(F)(F)F	CHEMBL397922	pIC50=7.33
CCCCCCCC\C=C/CCCCCCCC(=O)NCc1ccc(cc1)B(O)O	CHEMBL3770603	pIC50=7.33
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4ccc(F)cc34)cccc12	CHEMBL3682246	pIC50=7.33
C[C@H](C(=O)NCc1cc(nn1c2ccc(Cl)cc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3689043	pIC50=7.33
FC(F)(F)c1ccc2[C@@H](CCOc2c1)NC(=O)Nc3ccc4CCC(=O)Nc4c3	CHEMBL3682327	pIC50=7.33
C[C@]1(C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(Cl)cc4O1)C(F)F	CHEMBL3682409	pIC50=7.34
Cc1cc(NC(=O)N2CCC(F)(CC2)c3ncc(C[C@H](O)CO)cc3F)ccc1OC(F)(F)F	CHEMBL3671861	pIC50=7.34
Cc1cc(NC(=O)NCc2ccc(nc2N3CCCC3)C(F)(F)F)ccc1CNS(=O)(=O)C	CHEMBL3694607	pKi=7.34
Cc1cccc2C(CCc12)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL399639	pIC50=7.34
OC[C@H](O)C(F)(F)c1cnc(C2=CCN(CC2)C(=O)Nc3ccc(OC(F)(F)F)cn3)c(Cl)c1	CHEMBL3671844	pIC50=7.34
CC(C(=O)NCc1ccc(nc1OCC2CCC(C)CC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385251	pIC50=7.35
CC(C(=O)NCc1ccc(nc1c2cccc(C)c2)C3CC3)c4ccc(CNS(=O)(=O)C)c(F)c4	CHEMBL3695684	pKi=7.35
CC(O)c1ccccc1c2ccc3[nH]c(\C=C\c4ccc(cc4)C(F)(F)F)nc3c2	CHEMBL3426359	pIC50=7.35
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3677348	pIC50=7.35
CC(C(=O)NCc1c(C)cc(nc1OC2CCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3407957	pKi=7.36
CC(C(=O)NCc1ccc(nc1C2CCCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3314389	pIC50=7.36
CC(C(=O)NCc1ccc(nc1OC2CCCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385417	pIC50=7.36
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccccc4O1	CHEMBL3677400	pIC50=7.36
CN(CCO)c1ncc(NC(=O)COc2ccc(cc2)C(C)(C)C)cc1Cl	CHEMBL2380437	pIC50=7.36
CN1C(=O)CCc2ccc(NC(=O)N[C@H]3CCOc4cc(OC(F)(F)F)ccc34)cc12	CHEMBL3682364	pIC50=7.36
COc1cccc(COc2nc(ccc2CNC(=O)C(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F)c1	CHEMBL2385235	pIC50=7.36
C[C@@H](C(=O)NCc1ccc(nc1SC2CCCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442913	pKi=7.36
FC(F)(F)Sc1cccc(NC(=O)Nc2cccc3cnccc23)c1	CHEMBL364087	pIC50=7.36
CC(C(=O)NCc1ccc(nc1OC2CCC(C)CC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385419	pIC50=7.37
CC1CCN(CC1)c2nc(ccc2CNC(=O)C(c3ccc(NS(=O)(=O)C)c(F)c3)c4ccccc4C)C(F)(F)F	CHEMBL3427107	pKi=7.37
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccccc4O1	CHEMBL3677343	pIC50=7.37
CC\C=C/COc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385255	pIC50=7.37
CCCCc1ccc(cc1)C(=O)Nc2cccc3ccc(O)cc23	CHEMBL259601	pIC50=7.38
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(Cl)ccc34)cccc12	CHEMBL3677305	pIC50=7.38
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CCOc4cc(ccc34)C(F)(F)F)cccc12	CHEMBL3682249	pIC50=7.38
FC(F)(F)c1ccc(CNC(=O)Nc2cccc3cncnc23)cc1	CHEMBL176044	pIC50=7.38
O=C(N[C@H]1C[C@H](C=C1)c2ccccc2)Nc3cccc4[nH]ncc34	CHEMBL3644103	pIC50=7.38
CC(C(=O)NCc1ccc(nc1OCC2CCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385248	pIC50=7.39
CC(C)(C)c1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL258917	pIC50=7.39
CC1CCN(CC1)c2nc(ccc2CNC(=O)Cc3cc(Br)cc(Br)c3)C(F)(F)F	CHEMBL3681233	pKi=7.39
CCCCSc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2442894	pIC50=7.39
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4ccccc34)cccc12	CHEMBL3677375	pIC50=7.39
FC(F)(F)c1cccc(CCNC(=O)Nc2cccc3cnccc23)c1	CHEMBL317045	pKi=7.39
OB(O)c1cccc(NC(=O)\C=C\c2ccc(Cl)cc2)c1	CHEMBL3770653	pIC50=7.39
CC(C)(C)c1ccc(\C=C\c2nc3cc(ccc3[nH]2)c4ccccc4C(=O)N)cc1	CHEMBL3426337	pIC50=7.4
CCC1(CC)C[C@@H](NC(=O)Nc2cccc3cnc(C)cc23)c4cc(F)ccc4O1	CHEMBL3326578	pIC50=7.4
CCCCCCCC\C=C/CCCCCCCC(=O)NCCO	CHEMBL280065	pEC50=7.4
CCOc1ccc(\C=C\c2nc3cc(ccc3[nH]2)c4ccccc4S(=O)(=O)N)cc1	CHEMBL3426371	pIC50=7.4
COc1ccc2C(CCc2c1)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL430402	pIC50=7.4
Cc1cc(NC(=O)N2CCC(=CC2)c3ncc(C[C@H](O)CO)cc3Cl)ccc1C(F)(F)F	CHEMBL3671863	pIC50=7.4
Cc1ccc(CC(C(=O)NCc2ccc(nc2SC3CCCCC3)C(F)(F)F)c4ccc(NS(=O)(=O)C)c(F)c4)cc1	CHEMBL3427117	pKi=7.4
CC(C(=O)NCc1cc(nn1c2cccc(Cl)c2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3689044	pIC50=7.41
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4c3cccc4C(F)(F)F)cccc12	CHEMBL3677391	pIC50=7.41
CC(C)Cc1ccc(cc1)C(C)C(=O)NCCCC(=O)Nc2ccc(cc2)C(C)(C)C	CHEMBL3754605	pIC50=7.42
CC1(C)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(nc4O1)C(F)(F)F	CHEMBL3682335	pIC50=7.42
CC1CCN(CC1)c2nc(ccc2CNC(=O)Cc3c(F)cccc3F)C(F)(F)F	CHEMBL3681225	pKi=7.42
CCCC1(CCC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3682318	pIC50=7.42
CCS(=O)(=O)N(Cc1ccccc1)c2nc(ccc2CNC(=O)C(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F	CHEMBL3770362	pKi=7.42
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(OC(F)(F)F)ccc34)cccc12	CHEMBL3682226	pIC50=7.42
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(ccc34)C(F)(F)F)cccc12	CHEMBL3682235	pIC50=7.42
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CCOc4c(OC(F)(F)F)cccc34)cccc12	CHEMBL3682227	pIC50=7.42
OCC(O)Cc1cnc(C2=CCN(CC2)C(=O)Nc3ccc(cn3)C(F)(F)F)c(Cl)c1	CHEMBL3671857	pIC50=7.42
CC(C(=O)NCc1ccc(cc1SC2CCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3627950	pIC50=7.43
CC(C(=O)NCc1ccc(cc1c2cccc(C)c2)C(C)(C)C)c3ccc(CNS(=O)(=O)C)c(F)c3	CHEMBL3695685	pKi=7.43
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccccc4O1	CHEMBL3682311	pIC50=7.43
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4ccccc34)cccc12	CHEMBL3677303	pIC50=7.43
CS(=O)(=O)Nc1ccc(cc1F)C(C(=O)NCc2ccc(nc2SC3CCCCC3)C(F)(F)F)c4ccc(F)cc4	CHEMBL3427106	pKi=7.43
FC(F)(F)c1ccc(COC(=O)Nc2cccc3cnccc23)cc1	CHEMBL175748	pIC50=7.43
Fc1ccc2[C@@H](CCc2c1)NC(=O)Nc3ccc4CCC(=O)Nc4c3	CHEMBL3682328	pIC50=7.43
O=C(N[C@@H]1C[C@@H]([C@@H]2C[C@H]12)c3ccccc3)Nc4cccc5[nH]ncc45	CHEMBL3644110	pIC50=7.43
CC(C(=O)NCc1ccc(nc1n2ccnc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3317488	pKi=7.44
CC1(C)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(cc4O1)C(F)(F)F	CHEMBL3677330	pIC50=7.44
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)cccc12	CHEMBL3677301	pIC50=7.44
Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)cc(cc2cn1)C(F)(F)F	CHEMBL3326915	pIC50=7.44
CC(C)(C)c1ccc(NC(=O)N2CCN(CC2)c3ncccc3Cl)cc1	CHEMBL441472	pIC50=7.46
CC(C)(C)c1ccc2C(NC(=O)Nc3cccc4[nH]ncc34)C(F)Cc2c1	CHEMBL443586	pIC50=7.46
CC(C)(C)c1ccc2CC(Cc2c1)NC(=O)Nc3cccc4scnc34	CHEMBL3646692	pIC50=7.46
CC(C)(C)c1ccc2[C@@H](CCc2c1)NC(=O)Nc3cccc4scnc34	CHEMBL3677299	pIC50=7.46
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(cc4O1)C(F)(F)F	CHEMBL3682312	pIC50=7.46
CCCCCCCC\C=C\CCCCCCCC=O	CHEMBL190707	pIC50=7.46
FCC1(CF)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3639761	pIC50=7.46
CC(C)(C)c1ccc2[C@@H](CCc2c1)N\C(=N\C#N)\Nc3cccc4[nH]ncc34	CHEMBL3085384	pIC50=7.47
CC1CCN(CC1)c2nc(ccc2CNC(=O)Cc3cccc(F)c3)C(F)(F)F	CHEMBL3681224	pKi=7.47
CCC1(CC)C[C@@H](NC(=O)Nc2cccc3cnc(C)cc23)c4cccc(F)c4O1	CHEMBL3326579	pIC50=7.47
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CCc4cc(ccc34)C(F)(F)F)cc12	CHEMBL3677334	pIC50=7.47
C[C@]1(CF)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(cc4O1)C(F)(F)F	CHEMBL3677426	pIC50=7.47
CN(CCO)c1ccc(NC(=O)COc2ccc(cc2)C(C)(C)C)cn1	CHEMBL2380435	pIC50=7.48
CC(C(=O)NCc1cnc(cc1c2ccccc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3407960	pKi=7.49
CC(NC(=O)NCc1ccc(nc1N2CCC(C)CC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3822842	pKi=7.5
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3682310	pIC50=7.5
CCC1(CC)C[C@@H](NC(=O)Nc2cccc3N(C)C(=O)C=Cc23)c4ccc(OC(F)(F)F)cc4O1	CHEMBL3677374	pIC50=7.5
CCCCCCCC\C=C/CCCCCCCC(=O)NCc1ccc(B(O)O)c(OC)c1	CHEMBL3770838	pIC50=7.5
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3C[C@@](C)(Oc4ccccc34)C(F)(F)F)cc12	CHEMBL3682413	pIC50=7.5
CN1C(=O)NCc2c(NC(=O)N[C@@H]3C[C@@](C)(Oc4ccccc34)C(F)F)cccc12	CHEMBL3677311	pIC50=7.5
C[C@@H](C(=O)NCc1cc(nn1c2ccc(Cl)cc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3689042	pKi=7.5
Cc1cc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4c(F)cc(F)cc34)cccc2cn1	CHEMBL3326583	pIC50=7.5
Cc1cc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(OC(F)(F)F)ccc34)cccc2cn1	CHEMBL3326585	pIC50=7.5
FC(F)(F)Oc1ccc2[C@@H](CCOc2c1)NC(=O)Nc3ccc4CCC(=O)Nc4c3	CHEMBL3682324	pIC50=7.5
FC(F)(F)c1ccc(NC(=O)N2CCC(=CC2)c3ncccc3Cl)cc1	CHEMBL3671853	pIC50=7.5
Fc1cc(NC(=O)NCc2cc(nn2c3cccc(Cl)c3)C(F)(F)F)ccc1C4CC4	CHEMBL3689060	pKi=7.5
Fc1ccccc1[C@H]2CC[C@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644116	pIC50=7.5
CC(C(=O)NCc1ccc(nc1c2ccccc2)C(F)(F)F)c3ccc(CNS(=O)(=O)C)c(F)c3	CHEMBL3695681	pKi=7.51
CC1CCN(CC1)c2nc(ccc2CNC(=O)C(C3CCCCC3)c4ccc(NS(=O)(=O)C)c(F)c4)C(F)(F)F	CHEMBL3427099	pKi=7.51
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(Br)ccc34)cccc12	CHEMBL3677387	pIC50=7.51
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4c(F)cccc34)cccc12	CHEMBL3682225	pIC50=7.51
Clc1ccc(CNC(=O)Nc2cccc3cnccc23)cc1	CHEMBL102010	pKi=7.51
CC1CCN(CC1)c2nc(ccc2CNC(=O)Cc3cc(F)ccc3F)C(F)(F)F	CHEMBL3681226	pKi=7.52
CCCCCCOc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385425	pIC50=7.52
CCCCOc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385423	pIC50=7.52
O=C(N[C@H]1CC[C@@H](C1)c2ccccc2)Nc3cccc4[nH]ncc34	CHEMBL3644070	pIC50=7.52
CC(C(=O)NCc1ccc(nc1OCc2ccccn2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385216	pKi=7.53
CC(C(=O)NCc1ccc(nc1OC2CCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385416	pIC50=7.54
CC(C(=O)NCc1ncc(cc1N2CCCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3407959	pKi=7.54
CCC1(CC)C[C@@H](NC(=O)Nc2cccc3N(C)C(=O)C=Cc23)c4ccc(Cl)cc4O1	CHEMBL3677368	pIC50=7.54
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4ccc(F)cc34)cccc12	CHEMBL3677369	pIC50=7.54
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(C)(C)c4ccccc34)cccc12	CHEMBL3682247	pIC50=7.54
Fc1cccc(c1)[C@H]2CC[C@@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644119	pIC50=7.54
O[C@H]1Cc2cccc(NC(=O)N[C@@H]3CC[C@@H](C3)c4ccccc4)c2C1	CHEMBL3644059	pIC50=7.54
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC4(CCCC4)Oc5ccccc35)cccc12	CHEMBL3677363	pIC50=7.55
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CCOc4cc(OC(F)(F)F)ccc34)cccc12	CHEMBL3677385	pIC50=7.55
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CCc4cc(ccc34)C(C)(C)C)cccc12	CHEMBL3682230	pIC50=7.55
COc1cccc(NC(=O)CCCNC(=O)C(C)c2ccc(CC(C)C)cc2)c1	CHEMBL3753876	pIC50=7.55
Cc1cccc(N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3)c1C	CHEMBL515049	pKi=7.55
CC(C(=O)NCc1ccc(nc1OCCc2ccccc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385224	pIC50=7.56
CCCCCCn1nc(cc1CNC(=O)[C@@H](C)c2ccc(NS(=O)(=O)C)c(F)c2)C(C)(C)C	CHEMBL3684331	pKi=7.56
CCCCCOc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385424	pIC50=7.56
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)c(Cl)ccc34)cccc12	CHEMBL3677320	pIC50=7.59
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3C[C@@](C)(CF)Oc4cc(Cl)ccc34)cc12	CHEMBL3639812	pIC50=7.59
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3C[C@](C)(Oc4ccccc34)C(F)F)cc12	CHEMBL3682379	pIC50=7.59
COc1ccc(cc1OC)c2nc(ccc2CNC(=O)C(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F	CHEMBL3317480	pKi=7.59
CS(=O)(=O)NCc1ccc(NC(=O)NCc2ccc(nc2N3CCCC3)C(F)(F)F)cc1	CHEMBL3694598	pKi=7.59
Fc1ccc(cc1)[C@H]2CCC(C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644100	pIC50=7.59
NS(=O)(=O)c1ccccc1c2ccc3[nH]c(nc3c2)C#Cc4ccccc4	CHEMBL3426380	pIC50=7.59
Oc1c(F)cc(CC(=O)NCc2cc(nn2c3cccc(Cl)c3)C(F)(F)F)cc1F	CHEMBL3689068	pKi=7.59
CC(=O)c1ccccc1c2ccc3[nH]c(\C=C\c4ccc(cc4)C(C)(C)C)nc3c2	CHEMBL3426340	pIC50=7.6
CC(C(=O)NCc1ccc(nc1N2CCC(C)CC2)C(F)(F)F)c3ccc(NC(=O)C)c(F)c3	CHEMBL3681234	pKi=7.6
CC(C(=O)NCc1ccc(nc1OCc2ccc(F)cc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385229	pIC50=7.6
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3C[C@](C)(Oc4ccccc34)C(F)F)cccc12	CHEMBL3677325	pIC50=7.6
CN1C(=O)CCc2c(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4F)cccc12	CHEMBL3646640	pIC50=7.6
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)c(Cl)ccc34)cccc12	CHEMBL3677302	pIC50=7.6
CC(C(=O)NCc1ccc(nc1N2CCC(C)CC2)C(F)(F)F)c3cc(F)cc(F)c3	CHEMBL3681227	pKi=7.61
CC(C(=O)NCc1ccc(nc1OCCC(C)(C)C)C(F)(F)F)c2ccc(NS(=O)(=O)C)c(F)c2	CHEMBL2385410	pIC50=7.62
CC(C(=O)NCc1ccc(nc1c2cccc(C)c2)C(C)(C)C)c3ccc(CNS(=O)(=O)C)c(F)c3	CHEMBL3695687	pKi=7.62
CC(C)Cc1ccc(cc1)C(C)C(=O)NCCNC(=O)Nc2cc(Cl)ccc2Cl	CHEMBL3753666	pIC50=7.62
CCC1(CC)C[C@@H](NC(=O)Nc2cccc3N(C)C(=O)NCc23)c4ccc(F)cc4O1	CHEMBL3682232	pIC50=7.62
CCCC1(CCC)C[C@@H](NC(=O)Nc2cccc3N(C)C(=O)C=Cc23)c4cccc(F)c4O1	CHEMBL3677373	pIC50=7.62
C[C@@H]1CN(CCN1C(=O)Nc2nc3ccc(F)cc3s2)c4ncccc4Cl	CHEMBL3671847	pIC50=7.62
CC(C(=O)NCc1ccc(cc1c2cccc(C)c2)C(F)(F)F)c3ccc(CNS(=O)(=O)C)c(F)c3	CHEMBL3695686	pKi=7.64
CC(C)(O)c1ccccc1c2ccc3[nH]c(\C=C\c4ccc(cc4)C(F)(F)F)nc3c2	CHEMBL2364618	pIC50=7.64
CCCc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL3314380	pKi=7.64
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4c(F)c(Cl)ccc34)cccc12	CHEMBL3677383	pIC50=7.64
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3C[C@@](C)(CF)Oc4cc(ccc34)C(F)(F)F)cccc12	CHEMBL3677382	pIC50=7.64
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(C)(Oc4cc(Cl)ccc34)C(F)F)cccc12	CHEMBL3682414	pIC50=7.64
COc1cc(CC(=O)OCC2=C[C@H]3[C@H]4OC5(Cc6ccccc6)O[C@@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)ccc1O	CHEMBL448382	pKi=7.64
COc1cc(ccc1CNS(=O)(=O)C)C(C)C(=O)NCc2ccc(nc2c3cccc(C)c3)C(F)(F)F	CHEMBL3695692	pKi=7.64
C[C@H](C(=O)NCc1ccc(nc1SC2CCCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442912	pIC50=7.65
CC(NC(=O)Nc1cccc2cnccc12)c3ccc(cc3)C(F)(F)F	CHEMBL389715	pIC50=7.66
CN(C1CCCCC1)c2ccc(cc2)C(=O)Nc3cnc4ccccc4c3	CHEMBL408401	pIC50=7.66
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3C[C@](C)(CF)Oc4cc(Cl)ccc34)cccc12	CHEMBL3677338	pIC50=7.66
CSc1cccc(NC(=O)Nc2cccc3ccc(O)cc23)c1	CHEMBL191990	pIC50=7.66
Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cccc34)cccc2cn1	CHEMBL3326909	pIC50=7.66
Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)c(F)ccc2cn1	CHEMBL3326914	pIC50=7.66
FC(F)(F)c1ccc(CCNC(=O)Nc2cccc3cnccc23)cc1	CHEMBL103063	pKi=7.66
NS(=O)(=O)c1ccccc1c2ccc3[nH]c(\C=C\c4ccc(cc4)S(=O)(=O)C(F)(F)F)nc3c2	CHEMBL3426372	pIC50=7.66
