CCNC(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1	amperozide	pIC50=6.34	pIC50=6.34	pIC50=6.34
CCCCCCCC\C=C/CCCCCCCC(=O)CBr	CHEMBL157736	pIC50=6.0
O=C(CCc1ccc(cc1)c2ccccc2)c3oc(cn3)C#N	CHEMBL272111	pKi=9.59
CCCCCCCCCCOc1ccc(NC(=O)O\N=C\c2ccc(F)cc2)cc1	CHEMBL596658	pIC50=9.6
CCCCCCCCCOc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL597430	pIC50=9.6
CCCCCCCCCOc1ccc(NC(=O)O\N=C\c2ccc(F)cc2)cc1	CHEMBL597648	pIC50=9.7
Cc1ccc(OC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5)cc1	CHEMBL3800599	pIC50=9.7
O=C(Oc1cccc(c1)C#N)N2CCN(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3799008	pIC50=9.7
[O-][N+](=O)c1ccc(OC(=O)N2CCN(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5)cc1	CHEMBL3799516	pIC50=9.7
FC(F)(F)c1ccc(OC(=O)N2CCN(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5)cc1	CHEMBL3798355	pIC50=9.8
CCCCCCCCCCCOc1ccc(NC(=O)O\N=C\c2cccnc2)cc1	CHEMBL598764	pIC50=9.82
O=C(Oc1ccc(cc1)C#N)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3798476	pIC50=9.85
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCS(=O)(=O)F	CHEMBL112486	pIC50=10.0
Fc1cccc(COc2ccc(OC3CCN(CC3)C(=O)n4ccnc4)cc2)c1	CHEMBL1812722	pIC50=10.03
O=C(Oc1ccc(cc1)C#N)N2CCN(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3797809	pIC50=10.05
Clc1ccc(OC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5)cc1	CHEMBL3799744	pIC50=10.1
Fc1cc(F)cc(c1)c2ccnc(n2)N3CCN(CC3)C(=O)Nc4cccnn4	CHEMBL3113274	pIC50=10.1
Fc1cccc(c1F)c2ccnc(n2)N3CCN(CC3)C(=O)Nc4cccnn4	CHEMBL3113271	pIC50=10.14
O=C(Oc1ccccc1)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3798156	pIC50=10.15
Clc1ccccc1OC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3797841	pIC50=10.22
Cc1ccccc1OC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3800456	pIC50=10.4
O=C(Oc1cccc(c1)C#N)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3797635	pIC50=10.52
Fc1ccc(F)c(c1)c2ccnc(n2)N3CCN(CC3)C(=O)Nc4cccnn4	CHEMBL3113272	pIC50=10.6
O=C(Oc1cccnc1)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3798487	pIC50=10.7
COc1ccc(OC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5)cc1	CHEMBL3798535	pIC50=11.0
Clc1ccc(OC(=O)N2CCN(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5)cc1	CHEMBL3797772	pIC50=11.0
